Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
P1\P2\LR4,C7,0.22,0.64,22,670,0.67,cm2016-01-10.027
P1\P2\LL5,C7,33.1,95.89,3310,1.01E+05,100.75,cm2016-01-10.027
P1\P2\UL5,C7,1.17,3.39,117,3.56E+03,3.56,cm2016-01-10.027
P1\P2\UR5,C7,0.13,0.38,13,396,0.4,cm2016-01-10.027
P1\P2\LR5,C7,0.12,0.35,12,365,0.37,cm2016-01-10.027
cm2016-01-10.026,A7,100,---,4634,1.20E+05,120.24,cm2016-01-10.026
P1,A7,99.78,99.78,4624,1.20E+05,119.98,cm2016-01-10.026
P1\P2,A7,98.83,99.05,4580,1.19E+05,118.83,cm2016-01-10.026
P1\P2\LL3,A7,98.79,99.96,4578,1.19E+05,118.78,cm2016-01-10.026
P1\P2\UL3,A7,0.04,0.04,2,51.9,0.05,cm2016-01-10.026
P1\P2\UR3,A7,0,0,0,0,0,cm2016-01-10.026
P1\P2\LR3,A7,0,0,0,0,0,cm2016-01-10.026
P1\P2\LL4,A7,98.83,100,4580,1.19E+05,118.83,cm2016-01-10.026
P1\P2\UL4,A7,0,0,0,0,0,cm2016-01-10.026
P1\P2\UR4,A7,0,0,0,0,0,cm2016-01-10.026
P1\P2\LR4,A7,0,0,0,0,0,cm2016-01-10.026
P1\P2\LL5,A7,97.95,99.1,4539,1.18E+05,117.77,cm2016-01-10.026
P1\P2\UL5,A7,0.58,0.59,27,701,0.7,cm2016-01-10.026
P1\P2\UR5,A7,0.04,0.04,2,51.9,0.05,cm2016-01-10.026
P1\P2\LR5,A7,0.26,0.26,12,311,0.31,cm2016-01-10.026
cm2016-01-10.025,D6,100,---,4028,1.06E+05,105.77,cm2016-01-10.025
P1,D6,99.6,99.6,4012,1.05E+05,105.35,cm2016-01-10.025
P1\P2,D6,98.29,98.68,3959,1.04E+05,103.96,cm2016-01-10.025
P1\P2\LL3,D6,98.14,99.85,3953,1.04E+05,103.8,cm2016-01-10.025
P1\P2\UL3,D6,0.15,0.15,6,158,0.16,cm2016-01-10.025
P1\P2\UR3,D6,0,0,0,0,0,cm2016-01-10.025
P1\P2\LR3,D6,0,0,0,0,0,cm2016-01-10.025
P1\P2\LL4,D6,98.29,100,3959,1.04E+05,103.96,cm2016-01-10.025
P1\P2\UL4,D6,0,0,0,0,0,cm2016-01-10.025
P1\P2\UR4,D6,0,0,0,0,0,cm2016-01-10.025
P1\P2\LR4,D6,0,0,0,0,0,cm2016-01-10.025
P1\P2\LL5,D6,93.35,94.97,3760,9.87E+04,98.73,cm2016-01-10.025
P1\P2\UL5,D6,4.02,4.09,162,4.25E+03,4.25,cm2016-01-10.025
P1\P2\UR5,D6,0.67,0.68,27,709,0.71,cm2016-01-10.025
P1\P2\LR5,D6,0.25,0.25,10,263,0.26,cm2016-01-10.025
cm2016-01-10.024,C6,100,---,3701,9.72E+04,97.18,cm2016-01-10.024
P1,C6,99.76,99.76,3692,9.69E+04,96.95,cm2016-01-10.024
P1\P2,C6,98.73,98.97,3654,9.59E+04,95.95,cm2016-01-10.024
P1\P2\LL3,C6,98.51,99.78,3646,9.57E+04,95.74,cm2016-01-10.024
P1\P2\UL3,C6,0.22,0.22,8,210,0.21,cm2016-01-10.024
P1\P2\UR3,C6,0,0,0,0,0,cm2016-01-10.024
P1\P2\LR3,C6,0,0,0,0,0,cm2016-01-10.024
P1\P2\LL4,C6,98.73,100,3654,9.59E+04,95.95,cm2016-01-10.024
P1\P2\UL4,C6,0,0,0,0,0,cm2016-01-10.024
P1\P2\UR4,C6,0,0,0,0,0,cm2016-01-10.024
P1\P2\LR4,C6,0,0,0,0,0,cm2016-01-10.024
P1\P2\LL5,C6,95.35,96.58,3529,9.27E+04,92.67,cm2016-01-10.024
P1\P2\UL5,C6,2.7,2.74,100,2.63E+03,2.63,cm2016-01-10.024
P1\P2\UR5,C6,0.46,0.47,17,446,0.45,cm2016-01-10.024
P1\P2\LR5,C6,0.22,0.22,8,210,0.21,cm2016-01-10.024
cm2016-01-10.023,B6,100,---,4648,1.21E+05,120.6,cm2016-01-10.023
P1,B6,99.61,99.61,4630,1.20E+05,120.13,cm2016-01-10.023
P1\P2,B6,98.43,98.81,4575,1.19E+05,118.7,cm2016-01-10.023
P1\P2\LL3,B6,98.34,99.91,4571,1.19E+05,118.6,cm2016-01-10.023
P1\P2\UL3,B6,0.06,0.07,3,77.8,0.08,cm2016-01-10.023
P1\P2\UR3,B6,0.02,0.02,1,25.9,0.03,cm2016-01-10.023
P1\P2\LR3,B6,0,0,0,0,0,cm2016-01-10.023
P1\P2\LL4,B6,98.41,99.98,4574,1.19E+05,118.68,cm2016-01-10.023
P1\P2\UL4,B6,0,0,0,0,0,cm2016-01-10.023
P1\P2\UR4,B6,0.02,0.02,1,25.9,0.03,cm2016-01-10.023
P1\P2\LR4,B6,0,0,0,0,0,cm2016-01-10.023
P1\P2\LL5,B6,97.1,98.64,4513,1.17E+05,117.1,cm2016-01-10.023
P1\P2\UL5,B6,0.75,0.77,35,908,0.91,cm2016-01-10.023
P1\P2\UR5,B6,0.09,0.09,4,104,0.1,cm2016-01-10.023
P1\P2\LR5,B6,0.49,0.5,23,597,0.6,cm2016-01-10.023
cm2016-01-10.022,A6,100,---,4547,1.20E+05,119.99,cm2016-01-10.022
P1,A6,99.78,99.78,4537,1.20E+05,119.72,cm2016-01-10.022
P1\P2,A6,98.7,98.92,4488,1.18E+05,118.43,cm2016-01-10.022
P1\P2\LL3,A6,98.66,99.96,4486,1.18E+05,118.38,cm2016-01-10.022
P1\P2\UL3,A6,0.02,0.02,1,26.4,0.03,cm2016-01-10.022
P1\P2\UR3,A6,0.02,0.02,1,26.4,0.03,cm2016-01-10.022
P1\P2\LR3,A6,0,0,0,0,0,cm2016-01-10.022
P1\P2\LL4,A6,98.7,100,4488,1.18E+05,118.43,cm2016-01-10.022
P1\P2\UL4,A6,0,0,0,0,0,cm2016-01-10.022
P1\P2\UR4,A6,0,0,0,0,0,cm2016-01-10.022
P1\P2\LR4,A6,0,0,0,0,0,cm2016-01-10.022
P1\P2\LL5,A6,97.98,99.26,4455,1.18E+05,117.56,cm2016-01-10.022
P1\P2\UL5,A6,0.33,0.33,15,396,0.4,cm2016-01-10.022
P1\P2\UR5,A6,0.02,0.02,1,26.4,0.03,cm2016-01-10.022
P1\P2\LR5,A6,0.37,0.38,17,449,0.45,cm2016-01-10.022
cm2016-01-10.021,D5,100,---,3715,9.59E+04,95.93,cm2016-01-10.021
P1,D5,99.22,99.22,3686,9.52E+04,95.18,cm2016-01-10.021
P1\P2,D5,98.14,98.91,3646,9.41E+04,94.14,cm2016-01-10.021
P1\P2\LL3,D5,97.93,99.78,3638,9.39E+04,93.94,cm2016-01-10.021
P1\P2\UL3,D5,0.22,0.22,8,207,0.21,cm2016-01-10.021
P1\P2\UR3,D5,0,0,0,0,0,cm2016-01-10.021
P1\P2\LR3,D5,0,0,0,0,0,cm2016-01-10.021
P1\P2\LL4,D5,98.14,100,3646,9.41E+04,94.14,cm2016-01-10.021
P1\P2\UL4,D5,0,0,0,0,0,cm2016-01-10.021
P1\P2\UR4,D5,0,0,0,0,0,cm2016-01-10.021
P1\P2\LR4,D5,0,0,0,0,0,cm2016-01-10.021
P1\P2\LL5,D5,93.84,95.61,3486,9.00E+04,90.01,cm2016-01-10.021
P1\P2\UL5,D5,3.47,3.54,129,3.33E+03,3.33,cm2016-01-10.021
P1\P2\UR5,D5,0.54,0.55,20,516,0.52,cm2016-01-10.021
P1\P2\LR5,D5,0.3,0.3,11,284,0.28,cm2016-01-10.021
cm2016-01-10.020,C5,100,---,4645,1.22E+05,121.64,cm2016-01-10.020
P1,C5,99.91,99.91,4641,1.22E+05,121.53,cm2016-01-10.020
P1\P2,C5,99.07,99.16,4602,1.21E+05,120.51,cm2016-01-10.020
P1\P2\LL3,C5,98.95,99.87,4596,1.20E+05,120.36,cm2016-01-10.020
P1\P2\UL3,C5,0.13,0.13,6,157,0.16,cm2016-01-10.020
P1\P2\UR3,C5,0,0,0,0,0,cm2016-01-10.020
P1\P2\LR3,C5,0,0,0,0,0,cm2016-01-10.020
P1\P2\LL4,C5,99.07,100,4602,1.21E+05,120.51,cm2016-01-10.020
P1\P2\UL4,C5,0,0,0,0,0,cm2016-01-10.020
P1\P2\UR4,C5,0,0,0,0,0,cm2016-01-10.020
P1\P2\LR4,C5,0,0,0,0,0,cm2016-01-10.020
P1\P2\LL5,C5,95.67,96.57,4444,1.16E+05,116.37,cm2016-01-10.020
P1\P2\UL5,C5,2.88,2.91,134,3.51E+03,3.51,cm2016-01-10.020
P1\P2\UR5,C5,0.19,0.2,9,236,0.24,cm2016-01-10.020
P1\P2\LR5,C5,0.32,0.33,15,393,0.39,cm2016-01-10.020
cm2016-01-10.019,B5,100,---,3846,1.01E+05,101.15,cm2016-01-10.019
P1,B5,99.45,99.45,3825,1.01E+05,100.6,cm2016-01-10.019
P1\P2,B5,98.36,98.9,3783,9.95E+04,99.5,cm2016-01-10.019
P1\P2\LL3,B5,98.31,99.95,3781,9.94E+04,99.45,cm2016-01-10.019
P1\P2\UL3,B5,0.05,0.05,2,52.6,0.05,cm2016-01-10.019
P1\P2\UR3,B5,0,0,0,0,0,cm2016-01-10.019
P1\P2\LR3,B5,0,0,0,0,0,cm2016-01-10.019
P1\P2\LL4,B5,98.36,100,3783,9.95E+04,99.5,cm2016-01-10.019
P1\P2\UL4,B5,0,0,0,0,0,cm2016-01-10.019
P1\P2\UR4,B5,0,0,0,0,0,cm2016-01-10.019
P1\P2\LR4,B5,0,0,0,0,0,cm2016-01-10.019
P1\P2\LL5,B5,97.45,99.07,3748,9.86E+04,98.58,cm2016-01-10.019
P1\P2\UL5,B5,0.34,0.34,13,342,0.34,cm2016-01-10.019
P1\P2\UR5,B5,0.18,0.19,7,184,0.18,cm2016-01-10.019
P1\P2\LR5,B5,0.39,0.4,15,395,0.39,cm2016-01-10.019
cm2016-01-10.018,A5,100,---,4691,1.18E+05,117.58,cm2016-01-10.018
P1,A5,99.87,99.87,4685,1.17E+05,117.43,cm2016-01-10.018
P1\P2,A5,99.19,99.32,4653,1.17E+05,116.63,cm2016-01-10.018
P1\P2\LL3,A5,99.17,99.98,4652,1.17E+05,116.6,cm2016-01-10.018
P1\P2\UL3,A5,0.02,0.02,1,25.1,0.03,cm2016-01-10.018
P1\P2\UR3,A5,0,0,0,0,0,cm2016-01-10.018
P1\P2\LR3,A5,0,0,0,0,0,cm2016-01-10.018
P1\P2\LL4,A5,99.19,100,4653,1.17E+05,116.63,cm2016-01-10.018
P1\P2\UL4,A5,0,0,0,0,0,cm2016-01-10.018
P1\P2\UR4,A5,0,0,0,0,0,cm2016-01-10.018
P1\P2\LR4,A5,0,0,0,0,0,cm2016-01-10.018
P1\P2\LL5,A5,98.68,99.48,4629,1.16E+05,116.03,cm2016-01-10.018
P1\P2\UL5,A5,0.13,0.13,6,150,0.15,cm2016-01-10.018
P1\P2\UR5,A5,0.02,0.02,1,25.1,0.03,cm2016-01-10.018
P1\P2\LR5,A5,0.36,0.37,17,426,0.43,cm2016-01-10.018
cm2016-01-10.017,D4,100,---,4735,1.20E+05,120.06,cm2016-01-10.017
P1,D4,88.85,88.85,4207,1.07E+05,106.68,cm2016-01-10.017
P1\P2,D4,88.07,99.12,4170,1.06E+05,105.74,cm2016-01-10.017
P1\P2\LL3,D4,87.92,99.83,4163,1.06E+05,105.56,cm2016-01-10.017
P1\P2\UL3,D4,0.15,0.17,7,177,0.18,cm2016-01-10.017
P1\P2\UR3,D4,0,0,0,0,0,cm2016-01-10.017
P1\P2\LR3,D4,0,0,0,0,0,cm2016-01-10.017
P1\P2\LL4,D4,87.96,99.88,4165,1.06E+05,105.61,cm2016-01-10.017
P1\P2\UL4,D4,0,0,0,0,0,cm2016-01-10.017
P1\P2\UR4,D4,0,0,0,0,0,cm2016-01-10.017
P1\P2\LR4,D4,0.11,0.12,5,127,0.13,cm2016-01-10.017
P1\P2\LL5,D4,83.59,94.92,3958,1.00E+05,100.36,cm2016-01-10.017
P1\P2\UL5,D4,4.01,4.56,190,4.82E+03,4.82,cm2016-01-10.017
P1\P2\UR5,D4,0.36,0.41,17,431,0.43,cm2016-01-10.017
P1\P2\LR5,D4,0.11,0.12,5,127,0.13,cm2016-01-10.017
cm2016-01-10.016,C4,100,---,3787,9.49E+04,94.92,cm2016-01-10.016
P1,C4,86.51,86.51,3276,8.21E+04,82.11,cm2016-01-10.016
P1\P2,C4,85.77,99.15,3248,8.14E+04,81.41,cm2016-01-10.016
P1\P2\LL3,C4,85.66,99.88,3244,8.13E+04,81.31,cm2016-01-10.016
P1\P2\UL3,C4,0.08,0.09,3,75.2,0.08,cm2016-01-10.016
P1\P2\UR3,C4,0.03,0.03,1,25.1,0.03,cm2016-01-10.016
P1\P2\LR3,C4,0,0,0,0,0,cm2016-01-10.016
P1\P2\LL4,C4,85.77,100,3248,8.14E+04,81.41,cm2016-01-10.016
P1\P2\UL4,C4,0,0,0,0,0,cm2016-01-10.016
P1\P2\UR4,C4,0,0,0,0,0,cm2016-01-10.016
P1\P2\LR4,C4,0,0,0,0,0,cm2016-01-10.016
P1\P2\LL5,C4,82.15,95.78,3111,7.80E+04,77.98,cm2016-01-10.016
P1\P2\UL5,C4,3.12,3.63,118,2.96E+03,2.96,cm2016-01-10.016
P1\P2\UR5,C4,0.32,0.37,12,301,0.3,cm2016-01-10.016
P1\P2\LR5,C4,0.18,0.22,7,175,0.18,cm2016-01-10.016
cm2016-01-10.015,B4,100,---,5038,1.31E+05,131.28,cm2016-01-10.015
P1,B4,99.6,99.6,5018,1.31E+05,130.76,cm2016-01-10.015
P1\P2,B4,98.49,98.88,4962,1.29E+05,129.3,cm2016-01-10.015
P1\P2\LL3,B4,98.41,99.92,4958,1.29E+05,129.2,cm2016-01-10.015
P1\P2\UL3,B4,0.06,0.06,3,78.2,0.08,cm2016-01-10.015
P1\P2\UR3,B4,0.02,0.02,1,26.1,0.03,cm2016-01-10.015
P1\P2\LR3,B4,0,0,0,0,0,cm2016-01-10.015
P1\P2\LL4,B4,98.47,99.98,4961,1.29E+05,129.28,cm2016-01-10.015
P1\P2\UL4,B4,0.02,0.02,1,26.1,0.03,cm2016-01-10.015
P1\P2\UR4,B4,0,0,0,0,0,cm2016-01-10.015
P1\P2\LR4,B4,0,0,0,0,0,cm2016-01-10.015
P1\P2\LL5,B4,97.84,99.33,4929,1.28E+05,128.44,cm2016-01-10.015
P1\P2\UL5,B4,0.2,0.2,10,261,0.26,cm2016-01-10.015
P1\P2\UR5,B4,0.08,0.08,4,104,0.1,cm2016-01-10.015
P1\P2\LR5,B4,0.38,0.38,19,495,0.5,cm2016-01-10.015
cm2016-01-10.014,A4,100,---,3956,1.04E+05,103.6,cm2016-01-10.014
P1,A4,99.7,99.7,3944,1.03E+05,103.28,cm2016-01-10.014
P1\P2,A4,98.84,99.14,3910,1.02E+05,102.39,cm2016-01-10.014
P1\P2\LL3,A4,98.81,99.97,3909,1.02E+05,102.36,cm2016-01-10.014
P1\P2\UL3,A4,0.03,0.03,1,26.2,0.03,cm2016-01-10.014
P1\P2\UR3,A4,0,0,0,0,0,cm2016-01-10.014
P1\P2\LR3,A4,0,0,0,0,0,cm2016-01-10.014
P1\P2\LL4,A4,98.84,100,3910,1.02E+05,102.39,cm2016-01-10.014
P1\P2\UL4,A4,0,0,0,0,0,cm2016-01-10.014
P1\P2\UR4,A4,0,0,0,0,0,cm2016-01-10.014
P1\P2\LR4,A4,0,0,0,0,0,cm2016-01-10.014
P1\P2\LL5,A4,98.21,99.36,3885,1.02E+05,101.74,cm2016-01-10.014
P1\P2\UL5,A4,0.3,0.31,12,314,0.31,cm2016-01-10.014
P1\P2\UR5,A4,0.03,0.03,1,26.2,0.03,cm2016-01-10.014
P1\P2\LR5,A4,0.3,0.31,12,314,0.31,cm2016-01-10.014
cm2016-01-10.013,D3,100,---,3210,8.44E+04,84.43,cm2016-01-10.013
P1,D3,99.53,99.53,3195,8.40E+04,84.03,cm2016-01-10.013
P1\P2,D3,98.29,98.75,3155,8.30E+04,82.98,cm2016-01-10.013
P1\P2\LL3,D3,98.19,99.9,3152,8.29E+04,82.9,cm2016-01-10.013
P1\P2\UL3,D3,0.03,0.03,1,26.3,0.03,cm2016-01-10.013
P1\P2\UR3,D3,0.06,0.06,2,52.6,0.05,cm2016-01-10.013
P1\P2\LR3,D3,0,0,0,0,0,cm2016-01-10.013
P1\P2\LL4,D3,98.16,99.87,3151,8.29E+04,82.88,cm2016-01-10.013
P1\P2\UL4,D3,0,0,0,0,0,cm2016-01-10.013
P1\P2\UR4,D3,0,0,0,0,0,cm2016-01-10.013
P1\P2\LR4,D3,0.12,0.13,4,105,0.11,cm2016-01-10.013
P1\P2\LL5,D3,93.3,94.93,2995,7.88E+04,78.77,cm2016-01-10.013
P1\P2\UL5,D3,4.39,4.47,141,3.71E+03,3.71,cm2016-01-10.013
P1\P2\UR5,D3,0.4,0.41,13,342,0.34,cm2016-01-10.013
P1\P2\LR5,D3,0.19,0.19,6,158,0.16,cm2016-01-10.013
cm2016-01-10.012,C3,100,---,3933,1.03E+05,102.82,cm2016-01-10.012
P1,C3,83.65,83.65,3290,8.60E+04,86.01,cm2016-01-10.012
P1\P2,C3,82.68,98.84,3252,8.50E+04,85.02,cm2016-01-10.012
P1\P2\LL3,C3,82.51,99.78,3245,8.48E+04,84.84,cm2016-01-10.012
P1\P2\UL3,C3,0.18,0.22,7,183,0.18,cm2016-01-10.012
P1\P2\UR3,C3,0,0,0,0,0,cm2016-01-10.012
P1\P2\LR3,C3,0,0,0,0,0,cm2016-01-10.012
P1\P2\LL4,C3,82.68,100,3252,8.50E+04,85.02,cm2016-01-10.012
P1\P2\UL4,C3,0,0,0,0,0,cm2016-01-10.012
P1\P2\UR4,C3,0,0,0,0,0,cm2016-01-10.012
P1\P2\LR4,C3,0,0,0,0,0,cm2016-01-10.012
P1\P2\LL5,C3,81.18,98.19,3193,8.35E+04,83.48,cm2016-01-10.012
P1\P2\UL5,C3,1.14,1.38,45,1.18E+03,1.18,cm2016-01-10.012
P1\P2\UR5,C3,0.25,0.31,10,261,0.26,cm2016-01-10.012
P1\P2\LR5,C3,0.1,0.12,4,105,0.1,cm2016-01-10.012
cm2016-01-10.011,B3,100,---,5997,1.50E+05,150.47,cm2016-01-10.011
P1,B3,66.93,66.93,4014,1.01E+05,100.72,cm2016-01-10.011
P1\P2,B3,65.52,97.88,3929,9.86E+04,98.58,cm2016-01-10.011
P1\P2\LL3,B3,65.45,99.9,3925,9.85E+04,98.48,cm2016-01-10.011
P1\P2\UL3,B3,0.05,0.08,3,75.3,0.08,cm2016-01-10.011
P1\P2\UR3,B3,0.02,0.03,1,25.1,0.03,cm2016-01-10.011
P1\P2\LR3,B3,0,0,0,0,0,cm2016-01-10.011
P1\P2\LL4,B3,65.52,100,3929,9.86E+04,98.58,cm2016-01-10.011
P1\P2\UL4,B3,0,0,0,0,0,cm2016-01-10.011
P1\P2\UR4,B3,0,0,0,0,0,cm2016-01-10.011
P1\P2\LR4,B3,0,0,0,0,0,cm2016-01-10.011
P1\P2\LL5,B3,65.07,99.31,3902,9.79E+04,97.91,cm2016-01-10.011
P1\P2\UL5,B3,0.18,0.28,11,276,0.28,cm2016-01-10.011
P1\P2\UR5,B3,0.05,0.08,3,75.3,0.08,cm2016-01-10.011
P1\P2\LR5,B3,0.22,0.33,13,326,0.33,cm2016-01-10.011
cm2016-01-10.010,A3,100,---,3826,1.00E+05,100.46,cm2016-01-10.010
P1,A3,99.71,99.71,3815,1.00E+05,100.18,cm2016-01-10.010
