Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
cm2016-01-08.025,A7,100,---,5112,1.33E+05,133,cm2016-01-08.025
P1,A7,99.59,99.59,5091,1.32E+05,132.45,cm2016-01-08.025
P1\P2,A7,98.98,99.39,5060,1.32E+05,131.64,cm2016-01-08.025
P1\P2\LL3,A7,98.87,99.88,5054,1.31E+05,131.49,cm2016-01-08.025
P1\P2\UL3,A7,0.12,0.12,6,156,0.16,cm2016-01-08.025
P1\P2\UR3,A7,0,0,0,0,0,cm2016-01-08.025
P1\P2\LR3,A7,0,0,0,0,0,cm2016-01-08.025
P1\P2\LL4,A7,98.98,100,5060,1.32E+05,131.64,cm2016-01-08.025
P1\P2\UL4,A7,0,0,0,0,0,cm2016-01-08.025
P1\P2\UR4,A7,0,0,0,0,0,cm2016-01-08.025
P1\P2\LR4,A7,0,0,0,0,0,cm2016-01-08.025
P1\P2\LL5,A7,98.18,99.19,5019,1.31E+05,130.58,cm2016-01-08.025
P1\P2\UL5,A7,0.29,0.3,15,390,0.39,cm2016-01-08.025
P1\P2\UR5,A7,0.16,0.16,8,208,0.21,cm2016-01-08.025
P1\P2\LR5,A7,0.35,0.36,18,468,0.47,cm2016-01-08.025
cm2016-01-08.024,D6,100,---,3540,9.09E+04,90.87,cm2016-01-08.024
P1,D6,99.35,99.35,3517,9.03E+04,90.28,cm2016-01-08.024
P1\P2,D6,98.73,99.37,3495,8.97E+04,89.71,cm2016-01-08.024
P1\P2\LL3,D6,98.59,99.86,3490,8.96E+04,89.58,cm2016-01-08.024
P1\P2\UL3,D6,0.14,0.14,5,128,0.13,cm2016-01-08.024
P1\P2\UR3,D6,0,0,0,0,0,cm2016-01-08.024
P1\P2\LR3,D6,0,0,0,0,0,cm2016-01-08.024
P1\P2\LL4,D6,98.73,100,3495,8.97E+04,89.71,cm2016-01-08.024
P1\P2\UL4,D6,0,0,0,0,0,cm2016-01-08.024
P1\P2\UR4,D6,0,0,0,0,0,cm2016-01-08.024
P1\P2\LR4,D6,0,0,0,0,0,cm2016-01-08.024
P1\P2\LL5,D6,94.92,96.14,3360,8.62E+04,86.25,cm2016-01-08.024
P1\P2\UL5,D6,3.28,3.32,116,2.98E+03,2.98,cm2016-01-08.024
P1\P2\UR5,D6,0.37,0.37,13,334,0.33,cm2016-01-08.024
P1\P2\LR5,D6,0.17,0.17,6,154,0.15,cm2016-01-08.024
cm2016-01-08.023,C6,100,---,4891,1.26E+05,126.09,cm2016-01-08.023
P1,C6,99.59,99.59,4871,1.26E+05,125.57,cm2016-01-08.023
P1\P2,C6,99.16,99.57,4850,1.25E+05,125.03,cm2016-01-08.023
P1\P2\LL3,C6,98.92,99.75,4838,1.25E+05,124.72,cm2016-01-08.023
P1\P2\UL3,C6,0.14,0.14,7,180,0.18,cm2016-01-08.023
P1\P2\UR3,C6,0.1,0.1,5,129,0.13,cm2016-01-08.023
P1\P2\LR3,C6,0,0,0,0,0,cm2016-01-08.023
P1\P2\LL4,C6,99.16,100,4850,1.25E+05,125.03,cm2016-01-08.023
P1\P2\UL4,C6,0,0,0,0,0,cm2016-01-08.023
P1\P2\UR4,C6,0,0,0,0,0,cm2016-01-08.023
P1\P2\LR4,C6,0,0,0,0,0,cm2016-01-08.023
P1\P2\LL5,C6,95.46,96.27,4669,1.20E+05,120.36,cm2016-01-08.023
P1\P2\UL5,C6,2.8,2.82,137,3.53E+03,3.53,cm2016-01-08.023
P1\P2\UR5,C6,0.63,0.64,31,799,0.8,cm2016-01-08.023
P1\P2\LR5,C6,0.27,0.27,13,335,0.34,cm2016-01-08.023
cm2016-01-08.022,B6,100,---,4182,1.08E+05,107.81,cm2016-01-08.022
P1,B6,99.62,99.62,4166,1.07E+05,107.4,cm2016-01-08.022
P1\P2,B6,99.04,99.42,4142,1.07E+05,106.78,cm2016-01-08.022
P1\P2\LL3,B6,99.02,99.98,4141,1.07E+05,106.75,cm2016-01-08.022
P1\P2\UL3,B6,0.02,0.02,1,25.8,0.03,cm2016-01-08.022
P1\P2\UR3,B6,0,0,0,0,0,cm2016-01-08.022
P1\P2\LR3,B6,0,0,0,0,0,cm2016-01-08.022
P1\P2\LL4,B6,99.04,100,4142,1.07E+05,106.78,cm2016-01-08.022
P1\P2\UL4,B6,0,0,0,0,0,cm2016-01-08.022
P1\P2\UR4,B6,0,0,0,0,0,cm2016-01-08.022
P1\P2\LR4,B6,0,0,0,0,0,cm2016-01-08.022
P1\P2\LL5,B6,98.71,99.66,4128,1.06E+05,106.42,cm2016-01-08.022
P1\P2\UL5,B6,0.19,0.19,8,206,0.21,cm2016-01-08.022
P1\P2\UR5,B6,0.05,0.05,2,51.6,0.05,cm2016-01-08.022
P1\P2\LR5,B6,0.1,0.1,4,103,0.1,cm2016-01-08.022
cm2016-01-08.021,A6,100,---,6339,1.65E+05,165.19,cm2016-01-08.021
P1,A6,75.82,75.82,4806,1.25E+05,125.24,cm2016-01-08.021
P1\P2,A6,75.17,99.15,4765,1.24E+05,124.17,cm2016-01-08.021
P1\P2\LL3,A6,75.11,99.92,4761,1.24E+05,124.07,cm2016-01-08.021
P1\P2\UL3,A6,0.05,0.06,3,78.2,0.08,cm2016-01-08.021
P1\P2\UR3,A6,0.02,0.02,1,26.1,0.03,cm2016-01-08.021
P1\P2\LR3,A6,0,0,0,0,0,cm2016-01-08.021
P1\P2\LL4,A6,75.17,100,4765,1.24E+05,124.17,cm2016-01-08.021
P1\P2\UL4,A6,0,0,0,0,0,cm2016-01-08.021
P1\P2\UR4,A6,0,0,0,0,0,cm2016-01-08.021
P1\P2\LR4,A6,0,0,0,0,0,cm2016-01-08.021
P1\P2\LL5,A6,74.24,98.76,4706,1.23E+05,122.63,cm2016-01-08.021
P1\P2\UL5,A6,0.52,0.69,33,860,0.86,cm2016-01-08.021
P1\P2\UR5,A6,0.09,0.13,6,156,0.16,cm2016-01-08.021
P1\P2\LR5,A6,0.32,0.42,20,521,0.52,cm2016-01-08.021
cm2016-01-08.020,D5,100,---,4329,1.14E+05,114.23,cm2016-01-08.020
P1,D5,99.75,99.75,4318,1.14E+05,113.94,cm2016-01-08.020
P1\P2,D5,99.42,99.68,4304,1.14E+05,113.57,cm2016-01-08.020
P1\P2\LL3,D5,99.35,99.93,4301,1.13E+05,113.49,cm2016-01-08.020
P1\P2\UL3,D5,0.05,0.05,2,52.8,0.05,cm2016-01-08.020
P1\P2\UR3,D5,0.02,0.02,1,26.4,0.03,cm2016-01-08.020
P1\P2\LR3,D5,0,0,0,0,0,cm2016-01-08.020
P1\P2\LL4,D5,99.42,100,4304,1.14E+05,113.57,cm2016-01-08.020
P1\P2\UL4,D5,0,0,0,0,0,cm2016-01-08.020
P1\P2\UR4,D5,0,0,0,0,0,cm2016-01-08.020
P1\P2\LR4,D5,0,0,0,0,0,cm2016-01-08.020
P1\P2\LL5,D5,96.42,96.98,4174,1.10E+05,110.14,cm2016-01-08.020
P1\P2\UL5,D5,2.52,2.53,109,2.88E+03,2.88,cm2016-01-08.020
P1\P2\UR5,D5,0.42,0.42,18,475,0.47,cm2016-01-08.020
P1\P2\LR5,D5,0.07,0.07,3,79.2,0.08,cm2016-01-08.020
cm2016-01-08.019,C5,100,---,4725,1.22E+05,122,cm2016-01-08.019
P1,C5,99.47,99.47,4700,1.21E+05,121.36,cm2016-01-08.019
P1\P2,C5,98.81,99.34,4669,1.21E+05,120.56,cm2016-01-08.019
P1\P2\LL3,C5,98.5,99.68,4654,1.20E+05,120.17,cm2016-01-08.019
P1\P2\UL3,C5,0.25,0.26,12,310,0.31,cm2016-01-08.019
P1\P2\UR3,C5,0.06,0.06,3,77.5,0.08,cm2016-01-08.019
P1\P2\LR3,C5,0,0,0,0,0,cm2016-01-08.019
P1\P2\LL4,C5,98.81,100,4669,1.21E+05,120.56,cm2016-01-08.019
P1\P2\UL4,C5,0,0,0,0,0,cm2016-01-08.019
P1\P2\UR4,C5,0,0,0,0,0,cm2016-01-08.019
P1\P2\LR4,C5,0,0,0,0,0,cm2016-01-08.019
P1\P2\LL5,C5,94.43,95.57,4462,1.15E+05,115.21,cm2016-01-08.019
P1\P2\UL5,C5,3.05,3.08,144,3.72E+03,3.72,cm2016-01-08.019
P1\P2\UR5,C5,0.93,0.94,44,1.14E+03,1.14,cm2016-01-08.019
P1\P2\LR5,C5,0.4,0.41,19,491,0.49,cm2016-01-08.019
cm2016-01-08.018,B5,100,---,4597,1.15E+05,115.22,cm2016-01-08.018
P1,B5,99.54,99.54,4576,1.15E+05,114.7,cm2016-01-08.018
P1\P2,B5,98.93,99.39,4548,1.14E+05,114,cm2016-01-08.018
P1\P2\LL3,B5,98.89,99.96,4546,1.14E+05,113.95,cm2016-01-08.018
P1\P2\UL3,B5,0.04,0.04,2,50.1,0.05,cm2016-01-08.018
P1\P2\UR3,B5,0,0,0,0,0,cm2016-01-08.018
P1\P2\LR3,B5,0,0,0,0,0,cm2016-01-08.018
P1\P2\LL4,B5,98.93,100,4548,1.14E+05,114,cm2016-01-08.018
P1\P2\UL4,B5,0,0,0,0,0,cm2016-01-08.018
P1\P2\UR4,B5,0,0,0,0,0,cm2016-01-08.018
P1\P2\LR4,B5,0,0,0,0,0,cm2016-01-08.018
P1\P2\LL5,B5,98.48,99.54,4527,1.13E+05,113.47,cm2016-01-08.018
P1\P2\UL5,B5,0.28,0.29,13,326,0.33,cm2016-01-08.018
P1\P2\UR5,B5,0.09,0.09,4,100,0.1,cm2016-01-08.018
P1\P2\LR5,B5,0.09,0.09,4,100,0.1,cm2016-01-08.018
cm2016-01-08.017,A5,100,---,4102,1.03E+05,102.93,cm2016-01-08.017
P1,A5,99.41,99.41,4078,1.02E+05,102.32,cm2016-01-08.017
P1\P2,A5,98.68,99.26,4048,1.02E+05,101.57,cm2016-01-08.017
P1\P2\LL3,A5,98.54,99.85,4042,1.01E+05,101.42,cm2016-01-08.017
P1\P2\UL3,A5,0.12,0.12,5,125,0.13,cm2016-01-08.017
P1\P2\UR3,A5,0.02,0.02,1,25.1,0.03,cm2016-01-08.017
P1\P2\LR3,A5,0,0,0,0,0,cm2016-01-08.017
P1\P2\LL4,A5,98.68,100,4048,1.02E+05,101.57,cm2016-01-08.017
P1\P2\UL4,A5,0,0,0,0,0,cm2016-01-08.017
P1\P2\UR4,A5,0,0,0,0,0,cm2016-01-08.017
P1\P2\LR4,A5,0,0,0,0,0,cm2016-01-08.017
P1\P2\LL5,A5,97.68,98.99,4007,1.01E+05,100.54,cm2016-01-08.017
P1\P2\UL5,A5,0.44,0.44,18,452,0.45,cm2016-01-08.017
P1\P2\UR5,A5,0.12,0.12,5,125,0.13,cm2016-01-08.017
P1\P2\LR5,A5,0.44,0.44,18,452,0.45,cm2016-01-08.017
cm2016-01-08.016,D4,100,---,5087,1.28E+05,127.51,cm2016-01-08.016
P1,D4,89.76,89.76,4566,1.14E+05,114.45,cm2016-01-08.016
P1\P2,D4,89.44,99.65,4550,1.14E+05,114.05,cm2016-01-08.016
P1\P2\LL3,D4,89.19,99.71,4537,1.14E+05,113.72,cm2016-01-08.016
P1\P2\UL3,D4,0.2,0.22,10,251,0.25,cm2016-01-08.016
P1\P2\UR3,D4,0.06,0.07,3,75.2,0.08,cm2016-01-08.016
P1\P2\LR3,D4,0,0,0,0,0,cm2016-01-08.016
P1\P2\LL4,D4,89.44,100,4550,1.14E+05,114.05,cm2016-01-08.016
P1\P2\UL4,D4,0,0,0,0,0,cm2016-01-08.016
P1\P2\UR4,D4,0,0,0,0,0,cm2016-01-08.016
P1\P2\LR4,D4,0,0,0,0,0,cm2016-01-08.016
P1\P2\LL5,D4,87.14,97.43,4433,1.11E+05,111.11,cm2016-01-08.016
P1\P2\UL5,D4,1.34,1.49,68,1.70E+03,1.7,cm2016-01-08.016
P1\P2\UR5,D4,0.69,0.77,35,877,0.88,cm2016-01-08.016
P1\P2\LR5,D4,0.28,0.31,14,351,0.35,cm2016-01-08.016
cm2016-01-08.015,C4,100,---,5055,1.27E+05,126.7,cm2016-01-08.015
P1,C4,68.35,68.35,3455,8.66E+04,86.6,cm2016-01-08.015
P1\P2,C4,67.99,99.48,3437,8.61E+04,86.15,cm2016-01-08.015
P1\P2\LL3,C4,67.87,99.83,3431,8.60E+04,86,cm2016-01-08.015
P1\P2\UL3,C4,0.1,0.15,5,125,0.13,cm2016-01-08.015
P1\P2\UR3,C4,0,0,0,0,0,cm2016-01-08.015
P1\P2\LR3,C4,0.02,0.03,1,25.1,0.03,cm2016-01-08.015
P1\P2\LL4,C4,67.93,99.91,3434,8.61E+04,86.07,cm2016-01-08.015
P1\P2\UL4,C4,0,0,0,0,0,cm2016-01-08.015
P1\P2\UR4,C4,0,0,0,0,0,cm2016-01-08.015
P1\P2\LR4,C4,0.06,0.09,3,75.2,0.08,cm2016-01-08.015
P1\P2\LL5,C4,66.61,97.96,3367,8.44E+04,84.39,cm2016-01-08.015
P1\P2\UL5,C4,0.71,1.05,36,902,0.9,cm2016-01-08.015
P1\P2\UR5,C4,0.34,0.49,17,426,0.43,cm2016-01-08.015
P1\P2\LR5,C4,0.34,0.49,17,426,0.43,cm2016-01-08.015
cm2016-01-08.014,B4,100,---,8187,2.13E+05,213.34,cm2016-01-08.014
P1,B4,76.35,76.35,6251,1.63E+05,162.89,cm2016-01-08.014
P1\P2,B4,75.45,98.82,6177,1.61E+05,160.96,cm2016-01-08.014
P1\P2\LL3,B4,75.35,99.87,6169,1.61E+05,160.76,cm2016-01-08.014
P1\P2\UL3,B4,0.1,0.13,8,208,0.21,cm2016-01-08.014
P1\P2\UR3,B4,0,0,0,0,0,cm2016-01-08.014
P1\P2\LR3,B4,0,0,0,0,0,cm2016-01-08.014
P1\P2\LL4,B4,75.45,100,6177,1.61E+05,160.96,cm2016-01-08.014
P1\P2\UL4,B4,0,0,0,0,0,cm2016-01-08.014
P1\P2\UR4,B4,0,0,0,0,0,cm2016-01-08.014
P1\P2\LR4,B4,0,0,0,0,0,cm2016-01-08.014
P1\P2\LL5,B4,74.58,98.85,6106,1.59E+05,159.11,cm2016-01-08.014
P1\P2\UL5,B4,0.38,0.5,31,808,0.81,cm2016-01-08.014
P1\P2\UR5,B4,0.17,0.23,14,365,0.36,cm2016-01-08.014
P1\P2\LR5,B4,0.32,0.42,26,678,0.68,cm2016-01-08.014
cm2016-01-08.013,A4,100,---,3968,1.04E+05,104.36,cm2016-01-08.013
P1,A4,99.6,99.6,3952,1.04E+05,103.94,cm2016-01-08.013
P1\P2,A4,99.07,99.47,3931,1.03E+05,103.39,cm2016-01-08.013
P1\P2\LL3,A4,98.89,99.82,3924,1.03E+05,103.21,cm2016-01-08.013
P1\P2\UL3,A4,0.18,0.18,7,184,0.18,cm2016-01-08.013
P1\P2\UR3,A4,0,0,0,0,0,cm2016-01-08.013
P1\P2\LR3,A4,0,0,0,0,0,cm2016-01-08.013
P1\P2\LL4,A4,99.07,100,3931,1.03E+05,103.39,cm2016-01-08.013
P1\P2\UL4,A4,0,0,0,0,0,cm2016-01-08.013
P1\P2\UR4,A4,0,0,0,0,0,cm2016-01-08.013
P1\P2\LR4,A4,0,0,0,0,0,cm2016-01-08.013
P1\P2\LL5,A4,98.14,99.06,3894,1.02E+05,102.42,cm2016-01-08.013
P1\P2\UL5,A4,0.38,0.38,15,395,0.39,cm2016-01-08.013
P1\P2\UR5,A4,0.13,0.13,5,132,0.13,cm2016-01-08.013
P1\P2\LR5,A4,0.43,0.43,17,447,0.45,cm2016-01-08.013
cm2016-01-08.012,D3,100,---,4336,1.12E+05,112.32,cm2016-01-08.012
P1,D3,99.26,99.26,4304,1.11E+05,111.49,cm2016-01-08.012
P1\P2,D3,98.39,99.12,4266,1.11E+05,110.51,cm2016-01-08.012
P1\P2\LL3,D3,98.2,99.81,4258,1.10E+05,110.3,cm2016-01-08.012
P1\P2\UL3,D3,0.16,0.16,7,181,0.18,cm2016-01-08.012
P1\P2\UR3,D3,0.02,0.02,1,25.9,0.03,cm2016-01-08.012
P1\P2\LR3,D3,0,0,0,0,0,cm2016-01-08.012
P1\P2\LL4,D3,98.39,100,4266,1.11E+05,110.51,cm2016-01-08.012
P1\P2\UL4,D3,0,0,0,0,0,cm2016-01-08.012
P1\P2\UR4,D3,0,0,0,0,0,cm2016-01-08.012
P1\P2\LR4,D3,0,0,0,0,0,cm2016-01-08.012
P1\P2\LL5,D3,93.24,94.77,4043,1.05E+05,104.73,cm2016-01-08.012
P1\P2\UL5,D3,4.36,4.43,189,4.90E+03,4.9,cm2016-01-08.012
P1\P2\UR5,D3,0.42,0.42,18,466,0.47,cm2016-01-08.012
P1\P2\LR5,D3,0.37,0.38,16,414,0.41,cm2016-01-08.012
cm2016-01-08.011,C3,100,---,4666,1.17E+05,116.95,cm2016-01-08.011
P1,C3,87.06,87.06,4062,1.02E+05,101.81,cm2016-01-08.011
P1\P2,C3,86.52,99.38,4037,1.01E+05,101.19,cm2016-01-08.011
P1\P2\LL3,C3,86.35,99.8,4029,1.01E+05,100.99,cm2016-01-08.011
P1\P2\UL3,C3,0.15,0.17,7,175,0.18,cm2016-01-08.011
P1\P2\UR3,C3,0,0,0,0,0,cm2016-01-08.011
P1\P2\LR3,C3,0.02,0.02,1,25.1,0.03,cm2016-01-08.011
P1\P2\LL4,C3,86.52,100,4037,1.01E+05,101.19,cm2016-01-08.011
P1\P2\UL4,C3,0,0,0,0,0,cm2016-01-08.011
P1\P2\UR4,C3,0,0,0,0,0,cm2016-01-08.011
P1\P2\LR4,C3,0,0,0,0,0,cm2016-01-08.011
P1\P2\LL5,C3,84.46,97.62,3941,9.88E+04,98.78,cm2016-01-08.011
P1\P2\UL5,C3,1.35,1.56,63,1.58E+03,1.58,cm2016-01-08.011
P1\P2\UR5,C3,0.45,0.52,21,526,0.53,cm2016-01-08.011
P1\P2\LR5,C3,0.26,0.3,12,301,0.3,cm2016-01-08.011
cm2016-01-08.010,B3,100,---,4015,1.01E+05,100.64,cm2016-01-08.010
P1,B3,99.35,99.35,3989,1.00E+05,99.98,cm2016-01-08.010
P1\P2,B3,99.05,99.7,3977,9.97E+04,99.68,cm2016-01-08.010
P1\P2\LL3,B3,98.9,99.85,3971,9.95E+04,99.53,cm2016-01-08.010
P1\P2\UL3,B3,0.07,0.08,3,75.2,0.08,cm2016-01-08.010
P1\P2\UR3,B3,0.07,0.08,3,75.2,0.08,cm2016-01-08.010
P1\P2\LR3,B3,0,0,0,0,0,cm2016-01-08.010
P1\P2\LL4,B3,99,99.95,3975,9.96E+04,99.63,cm2016-01-08.010
P1\P2\UL4,B3,0.02,0.03,1,25.1,0.03,cm2016-01-08.010
P1\P2\UR4,B3,0,0,0,0,0,cm2016-01-08.010
P1\P2\LR4,B3,0.02,0.03,1,25.1,0.03,cm2016-01-08.010
P1\P2\LL5,B3,97.78,98.72,3926,9.84E+04,98.41,cm2016-01-08.010
P1\P2\UL5,B3,0.6,0.6,24,602,0.6,cm2016-01-08.010
P1\P2\UR5,B3,0.12,0.13,5,125,0.13,cm2016-01-08.010
P1\P2\LR5,B3,0.55,0.55,22,551,0.55,cm2016-01-08.010
