Path,Full path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
P1\P2\UL5,cm2016-01-06.027\P1\P2\UL5,A8,0.79,0.81,31,803,0.8,cm2016-01-06.027
P1\P2\UR5,cm2016-01-06.027\P1\P2\UR5,A8,0.15,0.16,6,155,0.16,cm2016-01-06.027
P1\P2\LR5,cm2016-01-06.027\P1\P2\LR5,A8,0.15,0.16,6,155,0.16,cm2016-01-06.027
cm2016-01-06.026,cm2016-01-06.026,C7,100,---,4084,1.05E+05,105.45,cm2016-01-06.026
P1,cm2016-01-06.026\P1,C7,96.65,96.65,3947,1.02E+05,101.91,cm2016-01-06.026
P1\P2,cm2016-01-06.026\P1\P2,C7,95.91,99.24,3917,1.01E+05,101.14,cm2016-01-06.026
P1\P2\unstained,cm2016-01-06.026\P1\P2\unstained,C7,95.52,99.59,3901,1.01E+05,100.73,cm2016-01-06.026
P1\P2\mCherry,cm2016-01-06.026\P1\P2\mCherry,C7,0.2,0.2,8,207,0.21,cm2016-01-06.026
P1\P2\double-stained,cm2016-01-06.026\P1\P2\double-stained,C7,0.2,0.2,8,207,0.21,cm2016-01-06.026
P1\P2\GFP,cm2016-01-06.026\P1\P2\GFP,C7,0,0,0,0,0,cm2016-01-06.026
P1\P2\LL4,cm2016-01-06.026\P1\P2\LL4,C7,95.79,99.87,3912,1.01E+05,101.01,cm2016-01-06.026
P1\P2\UL4,cm2016-01-06.026\P1\P2\UL4,C7,0,0,0,0,0,cm2016-01-06.026
P1\P2\UR4,cm2016-01-06.026\P1\P2\UR4,C7,0,0,0,0,0,cm2016-01-06.026
P1\P2\LR4,cm2016-01-06.026\P1\P2\LR4,C7,0.12,0.13,5,129,0.13,cm2016-01-06.026
P1\P2\LL5,cm2016-01-06.026\P1\P2\LL5,C7,93.71,97.7,3827,9.88E+04,98.81,cm2016-01-06.026
P1\P2\UL5,cm2016-01-06.026\P1\P2\UL5,C7,1.42,1.48,58,1.50E+03,1.5,cm2016-01-06.026
P1\P2\UR5,cm2016-01-06.026\P1\P2\UR5,C7,0.61,0.64,25,646,0.65,cm2016-01-06.026
P1\P2\LR5,cm2016-01-06.026\P1\P2\LR5,C7,0.17,0.18,7,181,0.18,cm2016-01-06.026
cm2016-01-06.025,cm2016-01-06.025,A7,100,---,3515,9.11E+04,91.05,cm2016-01-06.025
P1,cm2016-01-06.025\P1,A7,99.63,99.63,3502,9.07E+04,90.72,cm2016-01-06.025
P1\P2,cm2016-01-06.025\P1\P2,A7,99.17,99.54,3486,9.03E+04,90.3,cm2016-01-06.025
P1\P2\unstained,cm2016-01-06.025\P1\P2\unstained,A7,99.15,99.97,3485,9.03E+04,90.28,cm2016-01-06.025
P1\P2\mCherry,cm2016-01-06.025\P1\P2\mCherry,A7,0.03,0.03,1,25.9,0.03,cm2016-01-06.025
P1\P2\double-stained,cm2016-01-06.025\P1\P2\double-stained,A7,0,0,0,0,0,cm2016-01-06.025
P1\P2\GFP,cm2016-01-06.025\P1\P2\GFP,A7,0,0,0,0,0,cm2016-01-06.025
P1\P2\LL4,cm2016-01-06.025\P1\P2\LL4,A7,99.17,100,3486,9.03E+04,90.3,cm2016-01-06.025
P1\P2\UL4,cm2016-01-06.025\P1\P2\UL4,A7,0,0,0,0,0,cm2016-01-06.025
P1\P2\UR4,cm2016-01-06.025\P1\P2\UR4,A7,0,0,0,0,0,cm2016-01-06.025
P1\P2\LR4,cm2016-01-06.025\P1\P2\LR4,A7,0,0,0,0,0,cm2016-01-06.025
P1\P2\LL5,cm2016-01-06.025\P1\P2\LL5,A7,98.52,99.34,3463,8.97E+04,89.71,cm2016-01-06.025
P1\P2\UL5,cm2016-01-06.025\P1\P2\UL5,A7,0.37,0.37,13,337,0.34,cm2016-01-06.025
P1\P2\UR5,cm2016-01-06.025\P1\P2\UR5,A7,0.09,0.09,3,77.7,0.08,cm2016-01-06.025
P1\P2\LR5,cm2016-01-06.025\P1\P2\LR5,A7,0.2,0.2,7,181,0.18,cm2016-01-06.025
cm2016-01-06.024,cm2016-01-06.024,D6,100,---,4496,1.13E+05,112.69,cm2016-01-06.024
P1,cm2016-01-06.024\P1,D6,86.17,86.17,3874,9.71E+04,97.1,cm2016-01-06.024
P1\P2,cm2016-01-06.024\P1\P2,D6,85.48,99.2,3843,9.63E+04,96.33,cm2016-01-06.024
P1\P2\unstained,cm2016-01-06.024\P1\P2\unstained,D6,85.36,99.87,3838,9.62E+04,96.2,cm2016-01-06.024
P1\P2\mCherry,cm2016-01-06.024\P1\P2\mCherry,D6,0.11,0.13,5,125,0.13,cm2016-01-06.024
P1\P2\double-stained,cm2016-01-06.024\P1\P2\double-stained,D6,0,0,0,0,0,cm2016-01-06.024
P1\P2\GFP,cm2016-01-06.024\P1\P2\GFP,D6,0,0,0,0,0,cm2016-01-06.024
P1\P2\LL4,cm2016-01-06.024\P1\P2\LL4,D6,85.45,99.97,3842,9.63E+04,96.3,cm2016-01-06.024
P1\P2\UL4,cm2016-01-06.024\P1\P2\UL4,D6,0,0,0,0,0,cm2016-01-06.024
P1\P2\UR4,cm2016-01-06.024\P1\P2\UR4,D6,0,0,0,0,0,cm2016-01-06.024
P1\P2\LR4,cm2016-01-06.024\P1\P2\LR4,D6,0.02,0.03,1,25.1,0.03,cm2016-01-06.024
P1\P2\LL5,cm2016-01-06.024\P1\P2\LL5,D6,83.12,97.24,3737,9.37E+04,93.67,cm2016-01-06.024
P1\P2\UL5,cm2016-01-06.024\P1\P2\UL5,D6,1.71,2,77,1.93E+03,1.93,cm2016-01-06.024
P1\P2\UR5,cm2016-01-06.024\P1\P2\UR5,D6,0.53,0.62,24,602,0.6,cm2016-01-06.024
P1\P2\LR5,cm2016-01-06.024\P1\P2\LR5,D6,0.11,0.13,5,125,0.13,cm2016-01-06.024
cm2016-01-06.023,cm2016-01-06.023,C6,100,---,4779,1.24E+05,123.8,cm2016-01-06.023
P1,cm2016-01-06.023\P1,C6,99.77,99.77,4768,1.24E+05,123.51,cm2016-01-06.023
P1\P2,cm2016-01-06.023\P1\P2,C6,99.08,99.31,4735,1.23E+05,122.66,cm2016-01-06.023
P1\P2\unstained,cm2016-01-06.023\P1\P2\unstained,C6,98.95,99.87,4729,1.23E+05,122.5,cm2016-01-06.023
P1\P2\mCherry,cm2016-01-06.023\P1\P2\mCherry,C6,0.13,0.13,6,155,0.16,cm2016-01-06.023
P1\P2\double-stained,cm2016-01-06.023\P1\P2\double-stained,C6,0,0,0,0,0,cm2016-01-06.023
P1\P2\GFP,cm2016-01-06.023\P1\P2\GFP,C6,0,0,0,0,0,cm2016-01-06.023
P1\P2\LL4,cm2016-01-06.023\P1\P2\LL4,C6,99.06,99.98,4734,1.23E+05,122.63,cm2016-01-06.023
P1\P2\UL4,cm2016-01-06.023\P1\P2\UL4,C6,0,0,0,0,0,cm2016-01-06.023
P1\P2\UR4,cm2016-01-06.023\P1\P2\UR4,C6,0,0,0,0,0,cm2016-01-06.023
P1\P2\LR4,cm2016-01-06.023\P1\P2\LR4,C6,0.02,0.02,1,25.9,0.03,cm2016-01-06.023
P1\P2\LL5,cm2016-01-06.023\P1\P2\LL5,C6,95.48,96.37,4563,1.18E+05,118.2,cm2016-01-06.023
P1\P2\UL5,cm2016-01-06.023\P1\P2\UL5,C6,3.06,3.08,146,3.78E+03,3.78,cm2016-01-06.023
P1\P2\UR5,cm2016-01-06.023\P1\P2\UR5,C6,0.4,0.4,19,492,0.49,cm2016-01-06.023
P1\P2\LR5,cm2016-01-06.023\P1\P2\LR5,C6,0.15,0.15,7,181,0.18,cm2016-01-06.023
cm2016-01-06.022,cm2016-01-06.022,B6,100,---,4521,1.17E+05,116.55,cm2016-01-06.022
P1,cm2016-01-06.022\P1,B6,99.73,99.73,4509,1.16E+05,116.24,cm2016-01-06.022
P1\P2,cm2016-01-06.022\P1\P2,B6,98.78,99.05,4466,1.15E+05,115.13,cm2016-01-06.022
P1\P2\unstained,cm2016-01-06.022\P1\P2\unstained,B6,98.76,99.98,4465,1.15E+05,115.1,cm2016-01-06.022
P1\P2\mCherry,cm2016-01-06.022\P1\P2\mCherry,B6,0.02,0.02,1,25.8,0.03,cm2016-01-06.022
P1\P2\double-stained,cm2016-01-06.022\P1\P2\double-stained,B6,0,0,0,0,0,cm2016-01-06.022
P1\P2\GFP,cm2016-01-06.022\P1\P2\GFP,B6,0,0,0,0,0,cm2016-01-06.022
P1\P2\LL4,cm2016-01-06.022\P1\P2\LL4,B6,98.78,100,4466,1.15E+05,115.13,cm2016-01-06.022
P1\P2\UL4,cm2016-01-06.022\P1\P2\UL4,B6,0,0,0,0,0,cm2016-01-06.022
P1\P2\UR4,cm2016-01-06.022\P1\P2\UR4,B6,0,0,0,0,0,cm2016-01-06.022
P1\P2\LR4,cm2016-01-06.022\P1\P2\LR4,B6,0,0,0,0,0,cm2016-01-06.022
P1\P2\LL5,cm2016-01-06.022\P1\P2\LL5,B6,97.52,98.72,4409,1.14E+05,113.66,cm2016-01-06.022
P1\P2\UL5,cm2016-01-06.022\P1\P2\UL5,B6,1.04,1.05,47,1.21E+03,1.21,cm2016-01-06.022
P1\P2\UR5,cm2016-01-06.022\P1\P2\UR5,B6,0.11,0.11,5,129,0.13,cm2016-01-06.022
P1\P2\LR5,cm2016-01-06.022\P1\P2\LR5,B6,0.11,0.11,5,129,0.13,cm2016-01-06.022
cm2016-01-06.021,cm2016-01-06.021,A6,100,---,4348,1.13E+05,112.81,cm2016-01-06.021
P1,cm2016-01-06.021\P1,A6,99.68,99.68,4334,1.12E+05,112.45,cm2016-01-06.021
P1\P2,cm2016-01-06.021\P1\P2,A6,98.99,99.31,4304,1.12E+05,111.67,cm2016-01-06.021
P1\P2\unstained,cm2016-01-06.021\P1\P2\unstained,A6,98.87,99.88,4299,1.12E+05,111.54,cm2016-01-06.021
P1\P2\mCherry,cm2016-01-06.021\P1\P2\mCherry,A6,0.07,0.07,3,77.8,0.08,cm2016-01-06.021
P1\P2\double-stained,cm2016-01-06.021\P1\P2\double-stained,A6,0.05,0.05,2,51.9,0.05,cm2016-01-06.021
P1\P2\GFP,cm2016-01-06.021\P1\P2\GFP,A6,0,0,0,0,0,cm2016-01-06.021
P1\P2\LL4,cm2016-01-06.021\P1\P2\LL4,A6,98.97,99.98,4303,1.12E+05,111.65,cm2016-01-06.021
P1\P2\UL4,cm2016-01-06.021\P1\P2\UL4,A6,0.02,0.02,1,25.9,0.03,cm2016-01-06.021
P1\P2\UR4,cm2016-01-06.021\P1\P2\UR4,A6,0,0,0,0,0,cm2016-01-06.021
P1\P2\LR4,cm2016-01-06.021\P1\P2\LR4,A6,0,0,0,0,0,cm2016-01-06.021
P1\P2\LL5,cm2016-01-06.021\P1\P2\LL5,A6,98.21,99.21,4270,1.11E+05,110.79,cm2016-01-06.021
P1\P2\UL5,cm2016-01-06.021\P1\P2\UL5,A6,0.51,0.51,22,571,0.57,cm2016-01-06.021
P1\P2\UR5,cm2016-01-06.021\P1\P2\UR5,A6,0.14,0.14,6,156,0.16,cm2016-01-06.021
P1\P2\LR5,cm2016-01-06.021\P1\P2\LR5,A6,0.14,0.14,6,156,0.16,cm2016-01-06.021
cm2016-01-06.020,cm2016-01-06.020,D5,100,---,5388,1.35E+05,135.19,cm2016-01-06.020
P1,cm2016-01-06.020\P1,D5,90.5,90.5,4876,1.22E+05,122.35,cm2016-01-06.020
P1\P2,cm2016-01-06.020\P1\P2,D5,89.59,99,4827,1.21E+05,121.12,cm2016-01-06.020
P1\P2\unstained,cm2016-01-06.020\P1\P2\unstained,D5,89.46,99.85,4820,1.21E+05,120.94,cm2016-01-06.020
P1\P2\mCherry,cm2016-01-06.020\P1\P2\mCherry,D5,0.13,0.15,7,176,0.18,cm2016-01-06.020
P1\P2\double-stained,cm2016-01-06.020\P1\P2\double-stained,D5,0,0,0,0,0,cm2016-01-06.020
P1\P2\GFP,cm2016-01-06.020\P1\P2\GFP,D5,0,0,0,0,0,cm2016-01-06.020
P1\P2\LL4,cm2016-01-06.020\P1\P2\LL4,D5,89.59,100,4827,1.21E+05,121.12,cm2016-01-06.020
P1\P2\UL4,cm2016-01-06.020\P1\P2\UL4,D5,0,0,0,0,0,cm2016-01-06.020
P1\P2\UR4,cm2016-01-06.020\P1\P2\UR4,D5,0,0,0,0,0,cm2016-01-06.020
P1\P2\LR4,cm2016-01-06.020\P1\P2\LR4,D5,0,0,0,0,0,cm2016-01-06.020
P1\P2\LL5,cm2016-01-06.020\P1\P2\LL5,D5,86.23,96.25,4646,1.17E+05,116.58,cm2016-01-06.020
P1\P2\UL5,cm2016-01-06.020\P1\P2\UL5,D5,2.71,3.02,146,3.66E+03,3.66,cm2016-01-06.020
P1\P2\UR5,cm2016-01-06.020\P1\P2\UR5,D5,0.56,0.62,30,753,0.75,cm2016-01-06.020
P1\P2\LR5,cm2016-01-06.020\P1\P2\LR5,D5,0.09,0.1,5,125,0.13,cm2016-01-06.020
cm2016-01-06.019,cm2016-01-06.019,C5,100,---,5493,1.38E+05,137.83,cm2016-01-06.019
P1,cm2016-01-06.019\P1,C5,79.68,79.68,4377,1.10E+05,109.83,cm2016-01-06.019
P1\P2,cm2016-01-06.019\P1\P2,C5,78.7,98.77,4323,1.08E+05,108.47,cm2016-01-06.019
P1\P2\unstained,cm2016-01-06.019\P1\P2\unstained,C5,78.63,99.91,4319,1.08E+05,108.37,cm2016-01-06.019
P1\P2\mCherry,cm2016-01-06.019\P1\P2\mCherry,C5,0.05,0.07,3,75.3,0.08,cm2016-01-06.019
P1\P2\double-stained,cm2016-01-06.019\P1\P2\double-stained,C5,0.02,0.02,1,25.1,0.03,cm2016-01-06.019
P1\P2\GFP,cm2016-01-06.019\P1\P2\GFP,C5,0,0,0,0,0,cm2016-01-06.019
P1\P2\LL4,cm2016-01-06.019\P1\P2\LL4,C5,78.7,100,4323,1.08E+05,108.47,cm2016-01-06.019
P1\P2\UL4,cm2016-01-06.019\P1\P2\UL4,C5,0,0,0,0,0,cm2016-01-06.019
P1\P2\UR4,cm2016-01-06.019\P1\P2\UR4,C5,0,0,0,0,0,cm2016-01-06.019
P1\P2\LR4,cm2016-01-06.019\P1\P2\LR4,C5,0,0,0,0,0,cm2016-01-06.019
P1\P2\LL5,cm2016-01-06.019\P1\P2\LL5,C5,76.32,96.97,4192,1.05E+05,105.18,cm2016-01-06.019
P1\P2\UL5,cm2016-01-06.019\P1\P2\UL5,C5,1.88,2.38,103,2.58E+03,2.58,cm2016-01-06.019
P1\P2\UR5,cm2016-01-06.019\P1\P2\UR5,C5,0.4,0.51,22,552,0.55,cm2016-01-06.019
P1\P2\LR5,cm2016-01-06.019\P1\P2\LR5,C5,0.11,0.14,6,151,0.15,cm2016-01-06.019
cm2016-01-06.018,cm2016-01-06.018,B5,100,---,6004,1.50E+05,150.49,cm2016-01-06.018
P1,cm2016-01-06.018\P1,B5,91.49,91.49,5493,1.38E+05,137.68,cm2016-01-06.018
P1\P2,cm2016-01-06.018\P1\P2,B5,90.81,99.25,5452,1.37E+05,136.66,cm2016-01-06.018
P1\P2\unstained,cm2016-01-06.018\P1\P2\unstained,B5,90.72,99.91,5447,1.37E+05,136.53,cm2016-01-06.018
P1\P2\mCherry,cm2016-01-06.018\P1\P2\mCherry,B5,0.08,0.09,5,125,0.13,cm2016-01-06.018
P1\P2\double-stained,cm2016-01-06.018\P1\P2\double-stained,B5,0,0,0,0,0,cm2016-01-06.018
P1\P2\GFP,cm2016-01-06.018\P1\P2\GFP,B5,0,0,0,0,0,cm2016-01-06.018
P1\P2\LL4,cm2016-01-06.018\P1\P2\LL4,B5,90.81,100,5452,1.37E+05,136.66,cm2016-01-06.018
P1\P2\UL4,cm2016-01-06.018\P1\P2\UL4,B5,0,0,0,0,0,cm2016-01-06.018
P1\P2\UR4,cm2016-01-06.018\P1\P2\UR4,B5,0,0,0,0,0,cm2016-01-06.018
P1\P2\LR4,cm2016-01-06.018\P1\P2\LR4,B5,0,0,0,0,0,cm2016-01-06.018
