Path,Full path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
P1\P2\LL3,cm2016-01-07.030\P1\P2\LL3,G9,98.3,99.95,19661,1.28E+06,"1,282.18",cm2016-01-07.030
P1\P2\UL3,cm2016-01-07.030\P1\P2\UL3,G9,0.02,0.02,4,261,0.26,cm2016-01-07.030
P1\P2\UR3,cm2016-01-07.030\P1\P2\UR3,G9,0.01,0.02,3,196,0.2,cm2016-01-07.030
P1\P2\LR3,cm2016-01-07.030\P1\P2\LR3,G9,0.01,0.02,3,196,0.2,cm2016-01-07.030
P1\P2\LL4,cm2016-01-07.030\P1\P2\LL4,G9,98.36,100,19671,1.28E+06,"1,282.84",cm2016-01-07.030
P1\P2\UL4,cm2016-01-07.030\P1\P2\UL4,G9,0,0,0,0,0,cm2016-01-07.030
P1\P2\UR4,cm2016-01-07.030\P1\P2\UR4,G9,0,0,0,0,0,cm2016-01-07.030
P1\P2\LR4,cm2016-01-07.030\P1\P2\LR4,G9,0,0,0,0,0,cm2016-01-07.030
P1\P2\LL5,cm2016-01-07.030\P1\P2\LL5,G9,97.77,99.4,19553,1.28E+06,"1,275.14",cm2016-01-07.030
P1\P2\UL5,cm2016-01-07.030\P1\P2\UL5,G9,0.01,0.01,2,130,0.13,cm2016-01-07.030
P1\P2\UR5,cm2016-01-07.030\P1\P2\UR5,G9,0,0,0,0,0,cm2016-01-07.030
P1\P2\LR5,cm2016-01-07.030\P1\P2\LR5,G9,0.58,0.59,116,7.56E+03,7.56,cm2016-01-07.030
cm2016-01-07.029,cm2016-01-07.029,E9,100,---,455,5.07E+03,5.07,cm2016-01-07.029
P1,cm2016-01-07.029\P1,E9,83.52,83.52,380,4.23E+03,4.23,cm2016-01-07.029
P1\P2,cm2016-01-07.029\P1\P2,E9,82.42,98.68,375,4.18E+03,4.18,cm2016-01-07.029
P1\P2\LL3,cm2016-01-07.029\P1\P2\LL3,E9,82.42,100,375,4.18E+03,4.18,cm2016-01-07.029
P1\P2\UL3,cm2016-01-07.029\P1\P2\UL3,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\UR3,cm2016-01-07.029\P1\P2\UR3,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\LR3,cm2016-01-07.029\P1\P2\LR3,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\LL4,cm2016-01-07.029\P1\P2\LL4,E9,82.42,100,375,4.18E+03,4.18,cm2016-01-07.029
P1\P2\UL4,cm2016-01-07.029\P1\P2\UL4,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\UR4,cm2016-01-07.029\P1\P2\UR4,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\LR4,cm2016-01-07.029\P1\P2\LR4,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\LL5,cm2016-01-07.029\P1\P2\LL5,E9,81.76,99.2,372,4.14E+03,4.14,cm2016-01-07.029
P1\P2\UL5,cm2016-01-07.029\P1\P2\UL5,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\UR5,cm2016-01-07.029\P1\P2\UR5,E9,0,0,0,0,0,cm2016-01-07.029
P1\P2\LR5,cm2016-01-07.029\P1\P2\LR5,E9,0.66,0.8,3,33.4,0.03,cm2016-01-07.029
cm2016-01-07.028,cm2016-01-07.028,G8,100,---,20000,7.84E+05,784.31,cm2016-01-07.028
P1,cm2016-01-07.028\P1,G8,98.52,98.52,19705,7.73E+05,772.75,cm2016-01-07.028
P1\P2,cm2016-01-07.028\P1\P2,G8,97.64,99.1,19527,7.66E+05,765.76,cm2016-01-07.028
P1\P2\LL3,cm2016-01-07.028\P1\P2\LL3,G8,97.61,99.97,19521,7.66E+05,765.53,cm2016-01-07.028
P1\P2\UL3,cm2016-01-07.028\P1\P2\UL3,G8,0.01,0.01,2,78.4,0.08,cm2016-01-07.028
P1\P2\UR3,cm2016-01-07.028\P1\P2\UR3,G8,0.01,0.01,2,78.4,0.08,cm2016-01-07.028
P1\P2\LR3,cm2016-01-07.028\P1\P2\LR3,G8,0.01,0.01,2,78.4,0.08,cm2016-01-07.028
P1\P2\LL4,cm2016-01-07.028\P1\P2\LL4,G8,97.64,100,19527,7.66E+05,765.76,cm2016-01-07.028
P1\P2\UL4,cm2016-01-07.028\P1\P2\UL4,G8,0,0,0,0,0,cm2016-01-07.028
P1\P2\UR4,cm2016-01-07.028\P1\P2\UR4,G8,0,0,0,0,0,cm2016-01-07.028
P1\P2\LR4,cm2016-01-07.028\P1\P2\LR4,G8,0,0,0,0,0,cm2016-01-07.028
P1\P2\LL5,cm2016-01-07.028\P1\P2\LL5,G8,97.29,99.65,19458,7.63E+05,763.06,cm2016-01-07.028
P1\P2\UL5,cm2016-01-07.028\P1\P2\UL5,G8,0.01,0.01,2,78.4,0.08,cm2016-01-07.028
P1\P2\UR5,cm2016-01-07.028\P1\P2\UR5,G8,0,0,0,0,0,cm2016-01-07.028
P1\P2\LR5,cm2016-01-07.028\P1\P2\LR5,G8,0.34,0.34,67,2.63E+03,2.63,cm2016-01-07.028
cm2016-01-07.027,cm2016-01-07.027,E8,100,---,526,5.85E+03,5.85,cm2016-01-07.027
P1,cm2016-01-07.027\P1,E8,80.99,80.99,426,4.74E+03,4.74,cm2016-01-07.027
P1\P2,cm2016-01-07.027\P1\P2,E8,79.28,97.89,417,4.64E+03,4.64,cm2016-01-07.027
P1\P2\LL3,cm2016-01-07.027\P1\P2\LL3,E8,79.28,100,417,4.64E+03,4.64,cm2016-01-07.027
P1\P2\UL3,cm2016-01-07.027\P1\P2\UL3,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\UR3,cm2016-01-07.027\P1\P2\UR3,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\LR3,cm2016-01-07.027\P1\P2\LR3,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\LL4,cm2016-01-07.027\P1\P2\LL4,E8,79.28,100,417,4.64E+03,4.64,cm2016-01-07.027
P1\P2\UL4,cm2016-01-07.027\P1\P2\UL4,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\UR4,cm2016-01-07.027\P1\P2\UR4,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\LR4,cm2016-01-07.027\P1\P2\LR4,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\LL5,cm2016-01-07.027\P1\P2\LL5,E8,79.28,100,417,4.64E+03,4.64,cm2016-01-07.027
P1\P2\UL5,cm2016-01-07.027\P1\P2\UL5,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\UR5,cm2016-01-07.027\P1\P2\UR5,E8,0,0,0,0,0,cm2016-01-07.027
P1\P2\LR5,cm2016-01-07.027\P1\P2\LR5,E8,0,0,0,0,0,cm2016-01-07.027
cm2016-01-07.026,cm2016-01-07.026,G7,100,---,20000,2.86E+05,285.88,cm2016-01-07.026
P1,cm2016-01-07.026\P1,G7,96.63,96.63,19326,2.76E+05,276.25,cm2016-01-07.026
P1\P2,cm2016-01-07.026\P1\P2,G7,96,99.35,19201,2.74E+05,274.46,cm2016-01-07.026
P1\P2\LL3,cm2016-01-07.026\P1\P2\LL3,G7,95.98,99.98,19197,2.74E+05,274.4,cm2016-01-07.026
P1\P2\UL3,cm2016-01-07.026\P1\P2\UL3,G7,0.01,0.01,2,28.6,0.03,cm2016-01-07.026
P1\P2\UR3,cm2016-01-07.026\P1\P2\UR3,G7,0.01,0.01,1,14.3,0.01,cm2016-01-07.026
P1\P2\LR3,cm2016-01-07.026\P1\P2\LR3,G7,0.01,0.01,1,14.3,0.01,cm2016-01-07.026
P1\P2\LL4,cm2016-01-07.026\P1\P2\LL4,G7,96,100,19201,2.74E+05,274.46,cm2016-01-07.026
P1\P2\UL4,cm2016-01-07.026\P1\P2\UL4,G7,0,0,0,0,0,cm2016-01-07.026
P1\P2\UR4,cm2016-01-07.026\P1\P2\UR4,G7,0,0,0,0,0,cm2016-01-07.026
P1\P2\LR4,cm2016-01-07.026\P1\P2\LR4,G7,0,0,0,0,0,cm2016-01-07.026
P1\P2\LL5,cm2016-01-07.026\P1\P2\LL5,G7,95.69,99.67,19138,2.74E+05,273.56,cm2016-01-07.026
P1\P2\UL5,cm2016-01-07.026\P1\P2\UL5,G7,0,0,0,0,0,cm2016-01-07.026
P1\P2\UR5,cm2016-01-07.026\P1\P2\UR5,G7,0,0,0,0,0,cm2016-01-07.026
P1\P2\LR5,cm2016-01-07.026\P1\P2\LR5,G7,0.32,0.33,63,901,0.9,cm2016-01-07.026
cm2016-01-07.025,cm2016-01-07.025,E7,100,---,2051,2.28E+04,22.8,cm2016-01-07.025
P1,cm2016-01-07.025\P1,E7,90.49,90.49,1856,2.06E+04,20.64,cm2016-01-07.025
P1\P2,cm2016-01-07.025\P1\P2,E7,90.1,99.57,1848,2.05E+04,20.55,cm2016-01-07.025
P1\P2\LL3,cm2016-01-07.025\P1\P2\LL3,E7,90.1,100,1848,2.05E+04,20.55,cm2016-01-07.025
P1\P2\UL3,cm2016-01-07.025\P1\P2\UL3,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\UR3,cm2016-01-07.025\P1\P2\UR3,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\LR3,cm2016-01-07.025\P1\P2\LR3,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\LL4,cm2016-01-07.025\P1\P2\LL4,E7,90.1,100,1848,2.05E+04,20.55,cm2016-01-07.025
P1\P2\UL4,cm2016-01-07.025\P1\P2\UL4,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\UR4,cm2016-01-07.025\P1\P2\UR4,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\LR4,cm2016-01-07.025\P1\P2\LR4,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\LL5,cm2016-01-07.025\P1\P2\LL5,E7,89.96,99.84,1845,2.05E+04,20.51,cm2016-01-07.025
P1\P2\UL5,cm2016-01-07.025\P1\P2\UL5,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\UR5,cm2016-01-07.025\P1\P2\UR5,E7,0,0,0,0,0,cm2016-01-07.025
P1\P2\LR5,cm2016-01-07.025\P1\P2\LR5,E7,0.15,0.16,3,33.4,0.03,cm2016-01-07.025
cm2016-01-07.024,cm2016-01-07.024,H6,100,---,20000,1.64E+06,"1,643.79",cm2016-01-07.024
P1,cm2016-01-07.024\P1,H6,99.81,99.81,19963,1.64E+06,"1,640.75",cm2016-01-07.024
P1\P2,cm2016-01-07.024\P1\P2,H6,98.63,98.82,19727,1.62E+06,"1,621.35",cm2016-01-07.024
P1\P2\LL3,cm2016-01-07.024\P1\P2\LL3,H6,98.59,99.95,19718,1.62E+06,"1,620.61",cm2016-01-07.024
P1\P2\UL3,cm2016-01-07.024\P1\P2\UL3,H6,0.03,0.03,6,493,0.49,cm2016-01-07.024
P1\P2\UR3,cm2016-01-07.024\P1\P2\UR3,H6,0.01,0.01,1,82.2,0.08,cm2016-01-07.024
P1\P2\LR3,cm2016-01-07.024\P1\P2\LR3,H6,0.01,0.01,2,164,0.16,cm2016-01-07.024
P1\P2\LL4,cm2016-01-07.024\P1\P2\LL4,H6,98.63,100,19727,1.62E+06,"1,621.35",cm2016-01-07.024
P1\P2\UL4,cm2016-01-07.024\P1\P2\UL4,H6,0,0,0,0,0,cm2016-01-07.024
P1\P2\UR4,cm2016-01-07.024\P1\P2\UR4,H6,0,0,0,0,0,cm2016-01-07.024
P1\P2\LR4,cm2016-01-07.024\P1\P2\LR4,H6,0,0,0,0,0,cm2016-01-07.024
P1\P2\LL5,cm2016-01-07.024\P1\P2\LL5,H6,97.91,99.27,19583,1.61E+06,"1,609.52",cm2016-01-07.024
P1\P2\UL5,cm2016-01-07.024\P1\P2\UL5,H6,0.01,0.01,2,164,0.16,cm2016-01-07.024
P1\P2\UR5,cm2016-01-07.024\P1\P2\UR5,H6,0.01,0.01,1,82.2,0.08,cm2016-01-07.024
P1\P2\LR5,cm2016-01-07.024\P1\P2\LR5,H6,0.7,0.71,141,1.16E+04,11.59,cm2016-01-07.024
cm2016-01-07.023,cm2016-01-07.023,G6,100,---,8307,9.23E+04,92.32,cm2016-01-07.023
P1,cm2016-01-07.023\P1,G6,94.38,94.38,7840,8.71E+04,87.13,cm2016-01-07.023
P1\P2,cm2016-01-07.023\P1\P2,G6,93.91,99.5,7801,8.67E+04,86.7,cm2016-01-07.023
P1\P2\LL3,cm2016-01-07.023\P1\P2\LL3,G6,93.86,99.95,7797,8.67E+04,86.65,cm2016-01-07.023
P1\P2\UL3,cm2016-01-07.023\P1\P2\UL3,G6,0.02,0.03,2,22.2,0.02,cm2016-01-07.023
P1\P2\UR3,cm2016-01-07.023\P1\P2\UR3,G6,0.01,0.01,1,11.1,0.01,cm2016-01-07.023
P1\P2\LR3,cm2016-01-07.023\P1\P2\LR3,G6,0.01,0.01,1,11.1,0.01,cm2016-01-07.023
P1\P2\LL4,cm2016-01-07.023\P1\P2\LL4,G6,93.91,100,7801,8.67E+04,86.7,cm2016-01-07.023
P1\P2\UL4,cm2016-01-07.023\P1\P2\UL4,G6,0,0,0,0,0,cm2016-01-07.023
P1\P2\UR4,cm2016-01-07.023\P1\P2\UR4,G6,0,0,0,0,0,cm2016-01-07.023
P1\P2\LR4,cm2016-01-07.023\P1\P2\LR4,G6,0,0,0,0,0,cm2016-01-07.023
P1\P2\LL5,cm2016-01-07.023\P1\P2\LL5,G6,93.42,99.47,7760,8.62E+04,86.24,cm2016-01-07.023
P1\P2\UL5,cm2016-01-07.023\P1\P2\UL5,G6,0,0,0,0,0,cm2016-01-07.023
P1\P2\UR5,cm2016-01-07.023\P1\P2\UR5,G6,0,0,0,0,0,cm2016-01-07.023
P1\P2\LR5,cm2016-01-07.023\P1\P2\LR5,G6,0.49,0.53,41,456,0.46,cm2016-01-07.023
cm2016-01-07.022,cm2016-01-07.022,F6,100,---,229,2.56E+03,2.56,cm2016-01-07.022
P1,cm2016-01-07.022\P1,F6,98.25,98.25,225,2.51E+03,2.51,cm2016-01-07.022
P1\P2,cm2016-01-07.022\P1\P2,F6,98.25,100,225,2.51E+03,2.51,cm2016-01-07.022
P1\P2\LL3,cm2016-01-07.022\P1\P2\LL3,F6,98.25,100,225,2.51E+03,2.51,cm2016-01-07.022
P1\P2\UL3,cm2016-01-07.022\P1\P2\UL3,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\UR3,cm2016-01-07.022\P1\P2\UR3,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\LR3,cm2016-01-07.022\P1\P2\LR3,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\LL4,cm2016-01-07.022\P1\P2\LL4,F6,98.25,100,225,2.51E+03,2.51,cm2016-01-07.022
P1\P2\UL4,cm2016-01-07.022\P1\P2\UL4,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\UR4,cm2016-01-07.022\P1\P2\UR4,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\LR4,cm2016-01-07.022\P1\P2\LR4,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\LL5,cm2016-01-07.022\P1\P2\LL5,F6,98.25,100,225,2.51E+03,2.51,cm2016-01-07.022
P1\P2\UL5,cm2016-01-07.022\P1\P2\UL5,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\UR5,cm2016-01-07.022\P1\P2\UR5,F6,0,0,0,0,0,cm2016-01-07.022
P1\P2\LR5,cm2016-01-07.022\P1\P2\LR5,F6,0,0,0,0,0,cm2016-01-07.022
cm2016-01-07.021,cm2016-01-07.021,E6,100,---,20000,6.06E+05,605.68,cm2016-01-07.021
P1,cm2016-01-07.021\P1,E6,99.61,99.61,19923,6.03E+05,603.34,cm2016-01-07.021
P1\P2,cm2016-01-07.021\P1\P2,E6,98.97,99.35,19794,5.99E+05,599.44,cm2016-01-07.021
P1\P2\LL3,cm2016-01-07.021\P1\P2\LL3,E6,98.97,99.99,19793,5.99E+05,599.41,cm2016-01-07.021
P1\P2\UL3,cm2016-01-07.021\P1\P2\UL3,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\UR3,cm2016-01-07.021\P1\P2\UR3,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\LR3,cm2016-01-07.021\P1\P2\LR3,E6,0.01,0.01,1,30.3,0.03,cm2016-01-07.021
P1\P2\LL4,cm2016-01-07.021\P1\P2\LL4,E6,98.97,100,19794,5.99E+05,599.44,cm2016-01-07.021
P1\P2\UL4,cm2016-01-07.021\P1\P2\UL4,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\UR4,cm2016-01-07.021\P1\P2\UR4,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\LR4,cm2016-01-07.021\P1\P2\LR4,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\LL5,cm2016-01-07.021\P1\P2\LL5,E6,98.95,99.97,19789,5.99E+05,599.29,cm2016-01-07.021
P1\P2\UL5,cm2016-01-07.021\P1\P2\UL5,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\UR5,cm2016-01-07.021\P1\P2\UR5,E6,0,0,0,0,0,cm2016-01-07.021
P1\P2\LR5,cm2016-01-07.021\P1\P2\LR5,E6,0.03,0.03,5,151,0.15,cm2016-01-07.021
cm2016-01-07.020,cm2016-01-07.020,H5,100,---,415,4.66E+03,4.66,cm2016-01-07.020
P1,cm2016-01-07.020\P1,H5,78.31,78.31,325,3.65E+03,3.65,cm2016-01-07.020
P1\P2,cm2016-01-07.020\P1\P2,H5,77.35,98.77,321,3.61E+03,3.61,cm2016-01-07.020
P1\P2\LL3,cm2016-01-07.020\P1\P2\LL3,H5,77.11,99.69,320,3.59E+03,3.59,cm2016-01-07.020
P1\P2\UL3,cm2016-01-07.020\P1\P2\UL3,H5,0.24,0.31,1,11.2,0.01,cm2016-01-07.020
P1\P2\UR3,cm2016-01-07.020\P1\P2\UR3,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\LR3,cm2016-01-07.020\P1\P2\LR3,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\LL4,cm2016-01-07.020\P1\P2\LL4,H5,77.35,100,321,3.61E+03,3.61,cm2016-01-07.020
P1\P2\UL4,cm2016-01-07.020\P1\P2\UL4,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\UR4,cm2016-01-07.020\P1\P2\UR4,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\LR4,cm2016-01-07.020\P1\P2\LR4,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\LL5,cm2016-01-07.020\P1\P2\LL5,H5,70.84,91.59,294,3.30E+03,3.3,cm2016-01-07.020
P1\P2\UL5,cm2016-01-07.020\P1\P2\UL5,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\UR5,cm2016-01-07.020\P1\P2\UR5,H5,0,0,0,0,0,cm2016-01-07.020
P1\P2\LR5,cm2016-01-07.020\P1\P2\LR5,H5,6.51,8.41,27,303,0.3,cm2016-01-07.020
cm2016-01-07.019,cm2016-01-07.019,G5,100,---,2435,2.71E+04,27.06,cm2016-01-07.019
P1,cm2016-01-07.019\P1,G5,89.24,89.24,2173,2.41E+04,24.15,cm2016-01-07.019
P1\P2,cm2016-01-07.019\P1\P2,G5,88.67,99.36,2159,2.40E+04,23.99,cm2016-01-07.019
P1\P2\LL3,cm2016-01-07.019\P1\P2\LL3,G5,88.54,99.86,2156,2.40E+04,23.96,cm2016-01-07.019
P1\P2\UL3,cm2016-01-07.019\P1\P2\UL3,G5,0.08,0.09,2,22.2,0.02,cm2016-01-07.019
P1\P2\UR3,cm2016-01-07.019\P1\P2\UR3,G5,0.04,0.05,1,11.1,0.01,cm2016-01-07.019
P1\P2\LR3,cm2016-01-07.019\P1\P2\LR3,G5,0,0,0,0,0,cm2016-01-07.019
P1\P2\LL4,cm2016-01-07.019\P1\P2\LL4,G5,88.67,100,2159,2.40E+04,23.99,cm2016-01-07.019
P1\P2\UL4,cm2016-01-07.019\P1\P2\UL4,G5,0,0,0,0,0,cm2016-01-07.019
P1\P2\UR4,cm2016-01-07.019\P1\P2\UR4,G5,0,0,0,0,0,cm2016-01-07.019
P1\P2\LR4,cm2016-01-07.019\P1\P2\LR4,G5,0,0,0,0,0,cm2016-01-07.019
P1\P2\LL5,cm2016-01-07.019\P1\P2\LL5,G5,87.39,98.56,2128,2.36E+04,23.65,cm2016-01-07.019
P1\P2\UL5,cm2016-01-07.019\P1\P2\UL5,G5,0,0,0,0,0,cm2016-01-07.019
P1\P2\UR5,cm2016-01-07.019\P1\P2\UR5,G5,0,0,0,0,0,cm2016-01-07.019
P1\P2\LR5,cm2016-01-07.019\P1\P2\LR5,G5,1.27,1.44,31,345,0.34,cm2016-01-07.019
cm2016-01-07.018,cm2016-01-07.018,F5,100,---,20000,2.25E+06,"2,253.52",cm2016-01-07.018
P1,cm2016-01-07.018\P1,F5,99.91,99.91,19983,2.25E+06,"2,251.61",cm2016-01-07.018
P1\P2,cm2016-01-07.018\P1\P2,F5,98.33,98.42,19667,2.22E+06,"2,216.00",cm2016-01-07.018
P1\P2\LL3,cm2016-01-07.018\P1\P2\LL3,F5,98.26,99.92,19652,2.21E+06,"2,214.31",cm2016-01-07.018
P1\P2\UL3,cm2016-01-07.018\P1\P2\UL3,F5,0.07,0.08,15,1.69E+03,1.69,cm2016-01-07.018
P1\P2\UR3,cm2016-01-07.018\P1\P2\UR3,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\LR3,cm2016-01-07.018\P1\P2\LR3,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\LL4,cm2016-01-07.018\P1\P2\LL4,F5,98.33,100,19667,2.22E+06,"2,216.00",cm2016-01-07.018
P1\P2\UL4,cm2016-01-07.018\P1\P2\UL4,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\UR4,cm2016-01-07.018\P1\P2\UR4,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\LR4,cm2016-01-07.018\P1\P2\LR4,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\LL5,cm2016-01-07.018\P1\P2\LL5,F5,97.64,99.29,19528,2.20E+06,"2,200.34",cm2016-01-07.018
P1\P2\UL5,cm2016-01-07.018\P1\P2\UL5,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\UR5,cm2016-01-07.018\P1\P2\UR5,F5,0,0,0,0,0,cm2016-01-07.018
P1\P2\LR5,cm2016-01-07.018\P1\P2\LR5,F5,0.69,0.71,139,1.57E+04,15.66,cm2016-01-07.018
cm2016-01-07.017,cm2016-01-07.017,E5,100,---,20000,2.42E+06,"2,418.09",cm2016-01-07.017
P1,cm2016-01-07.017\P1,E5,99.82,99.82,19964,2.41E+06,"2,413.73",cm2016-01-07.017
P1\P2,cm2016-01-07.017\P1\P2,E5,98.18,98.36,19636,2.37E+06,"2,374.08",cm2016-01-07.017
P1\P2\LL3,cm2016-01-07.017\P1\P2\LL3,E5,98.17,99.99,19635,2.37E+06,"2,373.96",cm2016-01-07.017
P1\P2\UL3,cm2016-01-07.017\P1\P2\UL3,E5,0,0,0,0,0,cm2016-01-07.017
P1\P2\UR3,cm2016-01-07.017\P1\P2\UR3,E5,0.01,0.01,1,121,0.12,cm2016-01-07.017
P1\P2\LR3,cm2016-01-07.017\P1\P2\LR3,E5,0,0,0,0,0,cm2016-01-07.017
P1\P2\LL4,cm2016-01-07.017\P1\P2\LL4,E5,98.18,100,19636,2.37E+06,"2,374.08",cm2016-01-07.017
P1\P2\UL4,cm2016-01-07.017\P1\P2\UL4,E5,0,0,0,0,0,cm2016-01-07.017
P1\P2\UR4,cm2016-01-07.017\P1\P2\UR4,E5,0,0,0,0,0,cm2016-01-07.017
