Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
P1\P2\UL5,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\UR5,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\LR5,E7,0.46,0.54,5,55.7,0.06,cm2016-01-09.025
cm2016-01-09.024,H6,100,---,20000,1.43E+06,"1,432.77",cm2016-01-09.024
P1,H6,99.66,99.66,19931,1.43E+06,"1,427.82",cm2016-01-09.024
P1\P2,H6,98.65,98.99,19729,1.41E+06,"1,413.35",cm2016-01-09.024
P1\P2\LL3,H6,98.62,99.97,19724,1.41E+06,"1,413.00",cm2016-01-09.024
P1\P2\UL3,H6,0.02,0.02,4,287,0.29,cm2016-01-09.024
P1\P2\UR3,H6,0,0,0,0,0,cm2016-01-09.024
P1\P2\LR3,H6,0.01,0.01,1,71.6,0.07,cm2016-01-09.024
P1\P2\LL4,H6,98.65,100,19729,1.41E+06,"1,413.35",cm2016-01-09.024
P1\P2\UL4,H6,0,0,0,0,0,cm2016-01-09.024
P1\P2\UR4,H6,0,0,0,0,0,cm2016-01-09.024
P1\P2\LR4,H6,0,0,0,0,0,cm2016-01-09.024
P1\P2\LL5,H6,97.91,99.25,19582,1.40E+06,"1,402.82",cm2016-01-09.024
P1\P2\UL5,H6,0.01,0.01,1,71.6,0.07,cm2016-01-09.024
P1\P2\UR5,H6,0,0,0,0,0,cm2016-01-09.024
P1\P2\LR5,H6,0.73,0.74,146,1.05E+04,10.46,cm2016-01-09.024
cm2016-01-09.023,G6,100,---,10539,1.17E+05,117.13,cm2016-01-09.023
P1,G6,97.01,97.01,10224,1.14E+05,113.63,cm2016-01-09.023
P1\P2,G6,96.56,99.53,10176,1.13E+05,113.09,cm2016-01-09.023
P1\P2\LL3,G6,96.52,99.96,10172,1.13E+05,113.05,cm2016-01-09.023
P1\P2\UL3,G6,0.03,0.03,3,33.3,0.03,cm2016-01-09.023
P1\P2\UR3,G6,0,0,0,0,0,cm2016-01-09.023
P1\P2\LR3,G6,0.01,0.01,1,11.1,0.01,cm2016-01-09.023
P1\P2\LL4,G6,96.56,100,10176,1.13E+05,113.09,cm2016-01-09.023
P1\P2\UL4,G6,0,0,0,0,0,cm2016-01-09.023
P1\P2\UR4,G6,0,0,0,0,0,cm2016-01-09.023
P1\P2\LR4,G6,0,0,0,0,0,cm2016-01-09.023
P1\P2\LL5,G6,96.2,99.64,10139,1.13E+05,112.68,cm2016-01-09.023
P1\P2\UL5,G6,0,0,0,0,0,cm2016-01-09.023
P1\P2\UR5,G6,0,0,0,0,0,cm2016-01-09.023
P1\P2\LR5,G6,0.35,0.36,37,411,0.41,cm2016-01-09.023
cm2016-01-09.022,F6,100,---,217,2.43E+03,2.43,cm2016-01-09.022
P1,F6,95.85,95.85,208,2.32E+03,2.32,cm2016-01-09.022
P1\P2,F6,94.93,99.04,206,2.30E+03,2.3,cm2016-01-09.022
P1\P2\LL3,F6,94.93,100,206,2.30E+03,2.3,cm2016-01-09.022
P1\P2\UL3,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\UR3,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\LR3,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\LL4,F6,94.93,100,206,2.30E+03,2.3,cm2016-01-09.022
P1\P2\UL4,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\UR4,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\LR4,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\LL5,F6,94.93,100,206,2.30E+03,2.3,cm2016-01-09.022
P1\P2\UL5,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\UR5,F6,0,0,0,0,0,cm2016-01-09.022
P1\P2\LR5,F6,0,0,0,0,0,cm2016-01-09.022
cm2016-01-09.021,E6,100,---,11791,1.31E+05,131.04,cm2016-01-09.021
P1,E6,98.08,98.08,11565,1.29E+05,128.53,cm2016-01-09.021
P1\P2,E6,97.63,99.53,11511,1.28E+05,127.93,cm2016-01-09.021
P1\P2\LL3,E6,97.63,100,11511,1.28E+05,127.93,cm2016-01-09.021
P1\P2\UL3,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\UR3,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\LR3,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\LL4,E6,97.63,100,11511,1.28E+05,127.93,cm2016-01-09.021
P1\P2\UL4,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\UR4,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\LR4,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\LL5,E6,97.57,99.95,11505,1.28E+05,127.86,cm2016-01-09.021
P1\P2\UL5,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\UR5,E6,0,0,0,0,0,cm2016-01-09.021
P1\P2\LR5,E6,0.05,0.05,6,66.7,0.07,cm2016-01-09.021
cm2016-01-09.020,H5,100,---,375,4.18E+03,4.18,cm2016-01-09.020
P1,H5,69.87,69.87,262,2.92E+03,2.92,cm2016-01-09.020
P1\P2,H5,67.2,96.18,252,2.81E+03,2.81,cm2016-01-09.020
P1\P2\LL3,H5,65.87,98.02,247,2.76E+03,2.76,cm2016-01-09.020
P1\P2\UL3,H5,1.07,1.59,4,44.6,0.04,cm2016-01-09.020
P1\P2\UR3,H5,0.27,0.4,1,11.2,0.01,cm2016-01-09.020
P1\P2\LR3,H5,0,0,0,0,0,cm2016-01-09.020
P1\P2\LL4,H5,67.2,100,252,2.81E+03,2.81,cm2016-01-09.020
P1\P2\UL4,H5,0,0,0,0,0,cm2016-01-09.020
P1\P2\UR4,H5,0,0,0,0,0,cm2016-01-09.020
P1\P2\LR4,H5,0,0,0,0,0,cm2016-01-09.020
P1\P2\LL5,H5,59.73,88.89,224,2.50E+03,2.5,cm2016-01-09.020
P1\P2\UL5,H5,0,0,0,0,0,cm2016-01-09.020
P1\P2\UR5,H5,0,0,0,0,0,cm2016-01-09.020
P1\P2\LR5,H5,7.47,11.11,28,312,0.31,cm2016-01-09.020
cm2016-01-09.019,G5,100,---,3439,3.82E+04,38.24,cm2016-01-09.019
P1,G5,94.48,94.48,3249,3.61E+04,36.12,cm2016-01-09.019
P1\P2,G5,93.98,99.48,3232,3.59E+04,35.94,cm2016-01-09.019
P1\P2\LL3,G5,93.81,99.81,3226,3.59E+04,35.87,cm2016-01-09.019
P1\P2\UL3,G5,0.03,0.03,1,11.1,0.01,cm2016-01-09.019
P1\P2\UR3,G5,0.06,0.06,2,22.2,0.02,cm2016-01-09.019
P1\P2\LR3,G5,0.09,0.09,3,33.4,0.03,cm2016-01-09.019
P1\P2\LL4,G5,93.98,100,3232,3.59E+04,35.94,cm2016-01-09.019
P1\P2\UL4,G5,0,0,0,0,0,cm2016-01-09.019
P1\P2\UR4,G5,0,0,0,0,0,cm2016-01-09.019
P1\P2\LR4,G5,0,0,0,0,0,cm2016-01-09.019
P1\P2\LL5,G5,92.76,98.7,3190,3.55E+04,35.47,cm2016-01-09.019
P1\P2\UL5,G5,0,0,0,0,0,cm2016-01-09.019
P1\P2\UR5,G5,0,0,0,0,0,cm2016-01-09.019
P1\P2\LR5,G5,1.22,1.3,42,467,0.47,cm2016-01-09.019
cm2016-01-09.018,F5,100,---,20000,1.89E+06,"1,889.64",cm2016-01-09.018
P1,F5,99.95,99.95,19990,1.89E+06,"1,888.70",cm2016-01-09.018
P1\P2,F5,98.35,98.4,19670,1.86E+06,"1,858.47",cm2016-01-09.018
P1\P2\LL3,F5,98.23,99.88,19647,1.86E+06,"1,856.29",cm2016-01-09.018
P1\P2\UL3,F5,0.11,0.12,23,2.17E+03,2.17,cm2016-01-09.018
P1\P2\UR3,F5,0,0,0,0,0,cm2016-01-09.018
P1\P2\LR3,F5,0,0,0,0,0,cm2016-01-09.018
P1\P2\LL4,F5,98.34,99.99,19669,1.86E+06,"1,858.37",cm2016-01-09.018
P1\P2\UL4,F5,0.01,0.01,1,94.5,0.09,cm2016-01-09.018
P1\P2\UR4,F5,0,0,0,0,0,cm2016-01-09.018
P1\P2\LR4,F5,0,0,0,0,0,cm2016-01-09.018
P1\P2\LL5,F5,97.68,99.32,19536,1.85E+06,"1,845.80",cm2016-01-09.018
P1\P2\UL5,F5,0.03,0.03,5,472,0.47,cm2016-01-09.018
P1\P2\UR5,F5,0.01,0.01,2,189,0.19,cm2016-01-09.018
P1\P2\LR5,F5,0.64,0.65,127,1.20E+04,12,cm2016-01-09.018
cm2016-01-09.017,E5,100,---,20000,2.32E+06,"2,318.84",cm2016-01-09.017
P1,E5,99.88,99.88,19975,2.32E+06,"2,315.94",cm2016-01-09.017
P1\P2,E5,97.95,98.08,19591,2.27E+06,"2,271.42",cm2016-01-09.017
P1\P2\LL3,E5,97.94,99.98,19587,2.27E+06,"2,270.96",cm2016-01-09.017
P1\P2\UL3,E5,0.01,0.01,2,232,0.23,cm2016-01-09.017
P1\P2\UR3,E5,0,0,0,0,0,cm2016-01-09.017
P1\P2\LR3,E5,0.01,0.01,2,232,0.23,cm2016-01-09.017
P1\P2\LL4,E5,97.95,100,19591,2.27E+06,"2,271.42",cm2016-01-09.017
P1\P2\UL4,E5,0,0,0,0,0,cm2016-01-09.017
P1\P2\UR4,E5,0,0,0,0,0,cm2016-01-09.017
P1\P2\LR4,E5,0,0,0,0,0,cm2016-01-09.017
P1\P2\LL5,E5,97.64,99.67,19527,2.26E+06,"2,264.00",cm2016-01-09.017
P1\P2\UL5,E5,0,0,0,0,0,cm2016-01-09.017
P1\P2\UR5,E5,0,0,0,0,0,cm2016-01-09.017
P1\P2\LR5,E5,0.32,0.33,64,7.42E+03,7.42,cm2016-01-09.017
cm2016-01-09.016,H4,100,---,20000,1.39E+06,"1,385.23",cm2016-01-09.016
P1,H4,99.56,99.56,19911,1.38E+06,"1,379.07",cm2016-01-09.016
P1\P2,H4,98.66,99.1,19732,1.37E+06,"1,366.67",cm2016-01-09.016
P1\P2\LL3,H4,98.63,99.97,19727,1.37E+06,"1,366.32",cm2016-01-09.016
P1\P2\UL3,H4,0.01,0.02,3,208,0.21,cm2016-01-09.016
P1\P2\UR3,H4,0.01,0.01,2,139,0.14,cm2016-01-09.016
P1\P2\LR3,H4,0,0,0,0,0,cm2016-01-09.016
P1\P2\LL4,H4,98.66,100,19732,1.37E+06,"1,366.67",cm2016-01-09.016
P1\P2\UL4,H4,0,0,0,0,0,cm2016-01-09.016
P1\P2\UR4,H4,0,0,0,0,0,cm2016-01-09.016
P1\P2\LR4,H4,0,0,0,0,0,cm2016-01-09.016
P1\P2\LL5,H4,98.19,99.52,19637,1.36E+06,"1,360.09",cm2016-01-09.016
P1\P2\UL5,H4,0,0,0,0,0,cm2016-01-09.016
P1\P2\UR5,H4,0.01,0.01,2,139,0.14,cm2016-01-09.016
P1\P2\LR5,H4,0.46,0.47,93,6.44E+03,6.44,cm2016-01-09.016
cm2016-01-09.015,G4,100,---,937,1.04E+04,10.42,cm2016-01-09.015
P1,G4,86.66,86.66,812,9.03E+03,9.03,cm2016-01-09.015
P1\P2,G4,86.02,99.26,806,8.97E+03,8.97,cm2016-01-09.015
P1\P2\LL3,G4,85.49,99.38,801,8.91E+03,8.91,cm2016-01-09.015
P1\P2\UL3,G4,0.43,0.5,4,44.5,0.04,cm2016-01-09.015
P1\P2\UR3,G4,0.11,0.12,1,11.1,0.01,cm2016-01-09.015
P1\P2\LR3,G4,0,0,0,0,0,cm2016-01-09.015
P1\P2\LL4,G4,86.02,100,806,8.97E+03,8.97,cm2016-01-09.015
P1\P2\UL4,G4,0,0,0,0,0,cm2016-01-09.015
P1\P2\UR4,G4,0,0,0,0,0,cm2016-01-09.015
P1\P2\LR4,G4,0,0,0,0,0,cm2016-01-09.015
P1\P2\LL5,G4,82.39,95.78,772,8.59E+03,8.59,cm2016-01-09.015
P1\P2\UL5,G4,0,0,0,0,0,cm2016-01-09.015
P1\P2\UR5,G4,0,0,0,0,0,cm2016-01-09.015
P1\P2\LR5,G4,3.63,4.22,34,378,0.38,cm2016-01-09.015
cm2016-01-09.014,F4,100,---,459,5.12E+03,5.12,cm2016-01-09.014
P1,F4,94.55,94.55,434,4.84E+03,4.84,cm2016-01-09.014
P1\P2,F4,93.9,99.31,431,4.81E+03,4.81,cm2016-01-09.014
P1\P2\LL3,F4,93.9,100,431,4.81E+03,4.81,cm2016-01-09.014
P1\P2\UL3,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\UR3,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\LR3,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\LL4,F4,93.9,100,431,4.81E+03,4.81,cm2016-01-09.014
P1\P2\UL4,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\UR4,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\LR4,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\LL5,F4,93.25,99.3,428,4.78E+03,4.78,cm2016-01-09.014
P1\P2\UL5,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\UR5,F4,0,0,0,0,0,cm2016-01-09.014
P1\P2\LR5,F4,0.65,0.7,3,33.5,0.03,cm2016-01-09.014
cm2016-01-09.013,E4,100,---,20000,2.47E+06,"2,474.02",cm2016-01-09.013
P1,E4,99.92,99.92,19984,2.47E+06,"2,472.04",cm2016-01-09.013
P1\P2,E4,98.08,98.16,19617,2.43E+06,"2,426.65",cm2016-01-09.013
P1\P2\LL3,E4,98.06,99.97,19611,2.43E+06,"2,425.90",cm2016-01-09.013
P1\P2\UL3,E4,0.03,0.03,6,742,0.74,cm2016-01-09.013
P1\P2\UR3,E4,0,0,0,0,0,cm2016-01-09.013
P1\P2\LR3,E4,0,0,0,0,0,cm2016-01-09.013
P1\P2\LL4,E4,98.08,100,19617,2.43E+06,"2,426.65",cm2016-01-09.013
P1\P2\UL4,E4,0,0,0,0,0,cm2016-01-09.013
P1\P2\UR4,E4,0,0,0,0,0,cm2016-01-09.013
P1\P2\LR4,E4,0,0,0,0,0,cm2016-01-09.013
P1\P2\LL5,E4,97.47,99.37,19493,2.41E+06,"2,411.31",cm2016-01-09.013
P1\P2\UL5,E4,0,0,0,0,0,cm2016-01-09.013
P1\P2\UR5,E4,0.01,0.01,1,124,0.12,cm2016-01-09.013
P1\P2\LR5,E4,0.61,0.63,123,1.52E+04,15.22,cm2016-01-09.013
cm2016-01-09.012,H3,100,---,20000,1.28E+06,"1,280.00",cm2016-01-09.012
P1,H3,99.59,99.59,19918,1.27E+06,"1,274.75",cm2016-01-09.012
P1\P2,H3,98.53,98.94,19706,1.26E+06,"1,261.18",cm2016-01-09.012
P1\P2\LL3,H3,98.52,99.98,19703,1.26E+06,"1,260.99",cm2016-01-09.012
P1\P2\UL3,H3,0.01,0.01,2,128,0.13,cm2016-01-09.012
P1\P2\UR3,H3,0.01,0.01,1,64,0.06,cm2016-01-09.012
P1\P2\LR3,H3,0,0,0,0,0,cm2016-01-09.012
P1\P2\LL4,H3,98.53,100,19706,1.26E+06,"1,261.18",cm2016-01-09.012
P1\P2\UL4,H3,0,0,0,0,0,cm2016-01-09.012
P1\P2\UR4,H3,0,0,0,0,0,cm2016-01-09.012
P1\P2\LR4,H3,0,0,0,0,0,cm2016-01-09.012
P1\P2\LL5,H3,98.06,99.53,19613,1.26E+06,"1,255.23",cm2016-01-09.012
P1\P2\UL5,H3,0.01,0.02,3,192,0.19,cm2016-01-09.012
P1\P2\UR5,H3,0.01,0.02,3,192,0.19,cm2016-01-09.012
P1\P2\LR5,H3,0.43,0.44,87,5.57E+03,5.57,cm2016-01-09.012
cm2016-01-09.011,G3,100,---,640,7.12E+03,7.12,cm2016-01-09.011
P1,G3,81.09,81.09,519,5.77E+03,5.77,cm2016-01-09.011
P1\P2,G3,79.84,98.46,511,5.69E+03,5.69,cm2016-01-09.011
P1\P2\LL3,G3,79.38,99.41,508,5.65E+03,5.65,cm2016-01-09.011
P1\P2\UL3,G3,0.31,0.39,2,22.3,0.02,cm2016-01-09.011
P1\P2\UR3,G3,0.16,0.2,1,11.1,0.01,cm2016-01-09.011
P1\P2\LR3,G3,0,0,0,0,0,cm2016-01-09.011
P1\P2\LL4,G3,79.84,100,511,5.69E+03,5.69,cm2016-01-09.011
P1\P2\UL4,G3,0,0,0,0,0,cm2016-01-09.011
P1\P2\UR4,G3,0,0,0,0,0,cm2016-01-09.011
P1\P2\LR4,G3,0,0,0,0,0,cm2016-01-09.011
P1\P2\LL5,G3,75.31,94.32,482,5.36E+03,5.36,cm2016-01-09.011
P1\P2\UL5,G3,0,0,0,0,0,cm2016-01-09.011
P1\P2\UR5,G3,0,0,0,0,0,cm2016-01-09.011
P1\P2\LR5,G3,4.53,5.68,29,323,0.32,cm2016-01-09.011
cm2016-01-09.010,F3,100,---,285,3.19E+03,3.19,cm2016-01-09.010
P1,F3,92.98,92.98,265,2.97E+03,2.97,cm2016-01-09.010
P1\P2,F3,90.88,97.74,259,2.90E+03,2.9,cm2016-01-09.010
P1\P2\LL3,F3,90.88,100,259,2.90E+03,2.9,cm2016-01-09.010
P1\P2\UL3,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\UR3,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\LR3,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\LL4,F3,90.88,100,259,2.90E+03,2.9,cm2016-01-09.010
P1\P2\UL4,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\UR4,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\LR4,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\LL5,F3,89.82,98.84,256,2.87E+03,2.87,cm2016-01-09.010
P1\P2\UL5,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\UR5,F3,0,0,0,0,0,cm2016-01-09.010
P1\P2\LR5,F3,1.05,1.16,3,33.6,0.03,cm2016-01-09.010
cm2016-01-09.009,E3,100,---,20000,2.42E+06,"2,424.54",cm2016-01-09.009
P1,E3,99.94,99.94,19987,2.42E+06,"2,422.96",cm2016-01-09.009
P1\P2,E3,98.08,98.14,19616,2.38E+06,"2,377.99",cm2016-01-09.009
P1\P2\LL3,E3,97.96,99.88,19592,2.38E+06,"2,375.08",cm2016-01-09.009
P1\P2\UL3,E3,0.12,0.12,24,2.91E+03,2.91,cm2016-01-09.009
P1\P2\UR3,E3,0,0,0,0,0,cm2016-01-09.009
