Name,Path,%-T,%-#,Count,Count/mL,file
LR5,P1\P2\LR5,32.17,46.77,738,1.48E+04,cm2015-08-24.011
cm2015-08-24.010,cm2015-08-24.010,100,---,2567,5.14E+04,cm2015-08-24.010
P1,P1,65.95,65.95,1693,3.39E+04,cm2015-08-24.010
P2,P1\P2,64.94,98.46,1667,3.34E+04,cm2015-08-24.010
LL3,P1\P2\LL3,5.1,7.86,131,2.63E+03,cm2015-08-24.010
UL3,P1\P2\UL3,31.05,47.81,797,1.60E+04,cm2015-08-24.010
UR3,P1\P2\UR3,0.08,0.12,2,40.1,cm2015-08-24.010
LR3,P1\P2\LR3,28.71,44.21,737,1.48E+04,cm2015-08-24.010
LL4,P1\P2\LL4,33.89,52.19,870,1.74E+04,cm2015-08-24.010
UL4,P1\P2\UL4,31.05,47.81,797,1.60E+04,cm2015-08-24.010
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.010
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.010
LL5,P1\P2\LL5,33.5,51.59,860,1.72E+04,cm2015-08-24.010
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.010
UR5,P1\P2\UR5,0.04,0.06,1,20,cm2015-08-24.010
LR5,P1\P2\LR5,31.4,48.35,806,1.62E+04,cm2015-08-24.010
cm2015-08-24.009,cm2015-08-24.009,100,---,2436,4.89E+04,cm2015-08-24.009
P1,P1,69.13,69.13,1684,3.38E+04,cm2015-08-24.009
P2,P1\P2,68.19,98.63,1661,3.33E+04,cm2015-08-24.009
LL3,P1\P2\LL3,4.68,6.86,114,2.29E+03,cm2015-08-24.009
UL3,P1\P2\UL3,33.37,48.95,813,1.63E+04,cm2015-08-24.009
UR3,P1\P2\UR3,0.16,0.24,4,80.3,cm2015-08-24.009
LR3,P1\P2\LR3,29.97,43.95,730,1.47E+04,cm2015-08-24.009
LL4,P1\P2\LL4,34.73,50.93,846,1.70E+04,cm2015-08-24.009
UL4,P1\P2\UL4,33.42,49.01,814,1.63E+04,cm2015-08-24.009
UR4,P1\P2\UR4,0.04,0.06,1,20.1,cm2015-08-24.009
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.009
LL5,P1\P2\LL5,34.44,50.51,839,1.68E+04,cm2015-08-24.009
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.009
UR5,P1\P2\UR5,0.12,0.18,3,60.2,cm2015-08-24.009
LR5,P1\P2\LR5,33.62,49.31,819,1.64E+04,cm2015-08-24.009
cm2015-08-24.008,cm2015-08-24.008,100,---,2360,4.75E+04,cm2015-08-24.008
P1,P1,64.96,64.96,1533,3.08E+04,cm2015-08-24.008
P2,P1\P2,64.24,98.89,1516,3.05E+04,cm2015-08-24.008
LL3,P1\P2\LL3,4.03,6.27,95,1.91E+03,cm2015-08-24.008
UL3,P1\P2\UL3,32.58,50.73,769,1.55E+04,cm2015-08-24.008
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-24.008
LR3,P1\P2\LR3,27.63,43.01,652,1.31E+04,cm2015-08-24.008
LL4,P1\P2\LL4,31.69,49.34,748,1.50E+04,cm2015-08-24.008
UL4,P1\P2\UL4,32.54,50.66,768,1.54E+04,cm2015-08-24.008
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.008
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.008
LL5,P1\P2\LL5,31.53,49.08,744,1.50E+04,cm2015-08-24.008
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.008
UR5,P1\P2\UR5,0.08,0.13,2,40.2,cm2015-08-24.008
LR5,P1\P2\LR5,32.63,50.79,770,1.55E+04,cm2015-08-24.008
cm2015-08-24.007,cm2015-08-24.007,100,---,1813,3.63E+04,cm2015-08-24.007
P1,P1,71.81,71.81,1302,2.61E+04,cm2015-08-24.007
P2,P1\P2,70.16,97.7,1272,2.55E+04,cm2015-08-24.007
LL3,P1\P2\LL3,1.32,1.89,24,481,cm2015-08-24.007
UL3,P1\P2\UL3,38.17,54.4,692,1.39E+04,cm2015-08-24.007
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-24.007
LR3,P1\P2\LR3,30.67,43.71,556,1.11E+04,cm2015-08-24.007
LL4,P1\P2\LL4,32.05,45.68,581,1.16E+04,cm2015-08-24.007
UL4,P1\P2\UL4,38.11,54.32,691,1.38E+04,cm2015-08-24.007
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.007
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.007
LL5,P1\P2\LL5,31.77,45.28,576,1.15E+04,cm2015-08-24.007
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.007
UR5,P1\P2\UR5,0.06,0.08,1,20,cm2015-08-24.007
LR5,P1\P2\LR5,38.33,54.64,695,1.39E+04,cm2015-08-24.007
cm2015-08-24.006,cm2015-08-24.006,100,---,1857,3.75E+04,cm2015-08-24.006
P1,P1,72.11,72.11,1339,2.71E+04,cm2015-08-24.006
P2,P1\P2,71.73,99.48,1332,2.69E+04,cm2015-08-24.006
LL3,P1\P2\LL3,1.18,1.65,22,445,cm2015-08-24.006
UL3,P1\P2\UL3,40.44,56.38,751,1.52E+04,cm2015-08-24.006
UR3,P1\P2\UR3,0.11,0.15,2,40.4,cm2015-08-24.006
LR3,P1\P2\LR3,29.99,41.82,557,1.13E+04,cm2015-08-24.006
LL4,P1\P2\LL4,31.39,43.77,583,1.18E+04,cm2015-08-24.006
UL4,P1\P2\UL4,40.33,56.23,749,1.51E+04,cm2015-08-24.006
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.006
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.006
LL5,P1\P2\LL5,30.91,43.09,574,1.16E+04,cm2015-08-24.006
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.006
UR5,P1\P2\UR5,0.22,0.3,4,80.9,cm2015-08-24.006
LR5,P1\P2\LR5,40.6,56.61,754,1.52E+04,cm2015-08-24.006
cm2015-08-24.005,cm2015-08-24.005,100,---,2172,4.36E+04,cm2015-08-24.005
P1,P1,65.75,65.75,1428,2.86E+04,cm2015-08-24.005
P2,P1\P2,65.33,99.37,1419,2.85E+04,cm2015-08-24.005
LL3,P1\P2\LL3,1.01,1.55,22,441,cm2015-08-24.005
UL3,P1\P2\UL3,36.23,55.46,787,1.58E+04,cm2015-08-24.005
UR3,P1\P2\UR3,0.09,0.14,2,40.1,cm2015-08-24.005
LR3,P1\P2\LR3,27.99,42.85,608,1.22E+04,cm2015-08-24.005
LL4,P1\P2\LL4,29.05,44.47,631,1.27E+04,cm2015-08-24.005
UL4,P1\P2\UL4,36.28,55.53,788,1.58E+04,cm2015-08-24.005
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.005
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.005
LL5,P1\P2\LL5,28.82,44.12,626,1.26E+04,cm2015-08-24.005
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.005
UR5,P1\P2\UR5,0.14,0.21,3,60.2,cm2015-08-24.005
LR5,P1\P2\LR5,36.37,55.67,790,1.58E+04,cm2015-08-24.005
cm2015-08-24.004,cm2015-08-24.004,100,---,2012,4.07E+04,cm2015-08-24.004
P1,P1,79.82,79.82,1606,3.25E+04,cm2015-08-24.004
P2,P1\P2,78.93,98.88,1588,3.21E+04,cm2015-08-24.004
LL3,P1\P2\LL3,2.04,2.58,41,829,cm2015-08-24.004
UL3,P1\P2\UL3,44.63,56.55,898,1.82E+04,cm2015-08-24.004
UR3,P1\P2\UR3,0.1,0.13,2,40.4,cm2015-08-24.004
LR3,P1\P2\LR3,32.16,40.74,647,1.31E+04,cm2015-08-24.004
LL4,P1\P2\LL4,34.34,43.51,691,1.40E+04,cm2015-08-24.004
UL4,P1\P2\UL4,44.58,56.49,897,1.81E+04,cm2015-08-24.004
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.004
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.004
LL5,P1\P2\LL5,34,43.07,684,1.38E+04,cm2015-08-24.004
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.004
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-24.004
LR5,P1\P2\LR5,44.93,56.93,904,1.83E+04,cm2015-08-24.004
cm2015-08-24.003,cm2015-08-24.003,100,---,1866,3.86E+04,cm2015-08-24.003
P1,P1,72.56,72.56,1354,2.80E+04,cm2015-08-24.003
P2,P1\P2,72.35,99.7,1350,2.79E+04,cm2015-08-24.003
LL3,P1\P2\LL3,1.55,2.15,29,599,cm2015-08-24.003
UL3,P1\P2\UL3,41.05,56.74,766,1.58E+04,cm2015-08-24.003
UR3,P1\P2\UR3,0.16,0.22,3,62,cm2015-08-24.003
LR3,P1\P2\LR3,29.58,40.89,552,1.14E+04,cm2015-08-24.003
LL4,P1\P2\LL4,31.3,43.26,584,1.21E+04,cm2015-08-24.003
UL4,P1\P2\UL4,41.05,56.74,766,1.58E+04,cm2015-08-24.003
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-24.003
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-24.003
LL5,P1\P2\LL5,30.98,42.81,578,1.19E+04,cm2015-08-24.003
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-24.003
UR5,P1\P2\UR5,0.16,0.22,3,62,cm2015-08-24.003
LR5,P1\P2\LR5,41.21,56.96,769,1.59E+04,cm2015-08-24.003
cm2015-08-24.002,cm2015-08-24.002,100,---,2028,4.06E+04,cm2015-08-24.002
