Name,Path,%-T,%-#,Count,Count/mL,file
LR3,P1\P2\LR3,19.97,44.93,448,1.81E+04,cm2015-08-18.028
LL4,P1\P2\LL4,20.91,47.04,469,1.89E+04,cm2015-08-18.028
UL4,P1\P2\UL4,23.54,52.96,528,2.13E+04,cm2015-08-18.028
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.028
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.028
LL5,P1\P2\LL5,20.86,46.94,468,1.89E+04,cm2015-08-18.028
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.028
UR5,P1\P2\UR5,0.04,0.1,1,40.4,cm2015-08-18.028
LR5,P1\P2\LR5,23.54,52.96,528,2.13E+04,cm2015-08-18.028
cm2015-08-18.027,cm2015-08-18.027,100,---,1399,6.04E+04,cm2015-08-18.027
P1,P1,64.19,64.19,898,3.88E+04,cm2015-08-18.027
P2,P1\P2,63.97,99.67,895,3.87E+04,cm2015-08-18.027
LL3,P1\P2\LL3,2.43,3.8,34,1.47E+03,cm2015-08-18.027
UL3,P1\P2\UL3,36.1,56.42,505,2.18E+04,cm2015-08-18.027
UR3,P1\P2\UR3,0.07,0.11,1,43.2,cm2015-08-18.027
LR3,P1\P2\LR3,25.38,39.66,355,1.53E+04,cm2015-08-18.027
LL4,P1\P2\LL4,27.81,43.46,389,1.68E+04,cm2015-08-18.027
UL4,P1\P2\UL4,36.17,56.54,506,2.19E+04,cm2015-08-18.027
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.027
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.027
LL5,P1\P2\LL5,27.81,43.46,389,1.68E+04,cm2015-08-18.027
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.027
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.027
LR5,P1\P2\LR5,36.17,56.54,506,2.19E+04,cm2015-08-18.027
cm2015-08-18.026,cm2015-08-18.026,100,---,1998,8.03E+04,cm2015-08-18.026
P1,P1,46.6,46.6,931,3.74E+04,cm2015-08-18.026
P2,P1\P2,45.55,97.74,910,3.66E+04,cm2015-08-18.026
LL3,P1\P2\LL3,1.45,3.19,29,1.16E+03,cm2015-08-18.026
UL3,P1\P2\UL3,25.98,57.03,519,2.08E+04,cm2015-08-18.026
UR3,P1\P2\UR3,0.05,0.11,1,40.2,cm2015-08-18.026
LR3,P1\P2\LR3,18.07,39.67,361,1.45E+04,cm2015-08-18.026
LL4,P1\P2\LL4,19.52,42.86,390,1.57E+04,cm2015-08-18.026
UL4,P1\P2\UL4,26.03,57.14,520,2.09E+04,cm2015-08-18.026
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.026
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.026
LL5,P1\P2\LL5,19.52,42.86,390,1.57E+04,cm2015-08-18.026
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.026
UR5,P1\P2\UR5,0.05,0.11,1,40.2,cm2015-08-18.026
LR5,P1\P2\LR5,25.98,57.03,519,2.08E+04,cm2015-08-18.026
cm2015-08-18.025,cm2015-08-18.025,100,---,1847,7.54E+04,cm2015-08-18.025
P1,P1,45.8,45.8,846,3.45E+04,cm2015-08-18.025
P2,P1\P2,45.59,99.53,842,3.44E+04,cm2015-08-18.025
LL3,P1\P2\LL3,1.25,2.73,23,939,cm2015-08-18.025
UL3,P1\P2\UL3,24.85,54.51,459,1.87E+04,cm2015-08-18.025
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.025
LR3,P1\P2\LR3,19.49,42.76,360,1.47E+04,cm2015-08-18.025
LL4,P1\P2\LL4,20.74,45.49,383,1.56E+04,cm2015-08-18.025
UL4,P1\P2\UL4,24.85,54.51,459,1.87E+04,cm2015-08-18.025
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.025
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.025
LL5,P1\P2\LL5,20.68,45.37,382,1.56E+04,cm2015-08-18.025
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.025
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.025
LR5,P1\P2\LR5,24.91,54.63,460,1.88E+04,cm2015-08-18.025
cm2015-08-18.024,cm2015-08-18.024,100,---,1971,7.92E+04,cm2015-08-18.024
P1,P1,51.24,51.24,1010,4.06E+04,cm2015-08-18.024
P2,P1\P2,49.82,97.23,982,3.94E+04,cm2015-08-18.024
LL3,P1\P2\LL3,0.51,1.02,10,402,cm2015-08-18.024
UL3,P1\P2\UL3,25.77,51.73,508,2.04E+04,cm2015-08-18.024
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.024
LR3,P1\P2\LR3,23.54,47.25,464,1.86E+04,cm2015-08-18.024
LL4,P1\P2\LL4,24.05,48.27,474,1.90E+04,cm2015-08-18.024
UL4,P1\P2\UL4,25.77,51.73,508,2.04E+04,cm2015-08-18.024
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.024
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.024
LL5,P1\P2\LL5,23.95,48.07,472,1.90E+04,cm2015-08-18.024
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.024
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.024
LR5,P1\P2\LR5,25.88,51.93,510,2.05E+04,cm2015-08-18.024
cm2015-08-18.023,cm2015-08-18.023,100,---,2061,8.28E+04,cm2015-08-18.023
P1,P1,51.48,51.48,1061,4.26E+04,cm2015-08-18.023
P2,P1\P2,51.33,99.72,1058,4.25E+04,cm2015-08-18.023
LL3,P1\P2\LL3,0.29,0.57,6,241,cm2015-08-18.023
UL3,P1\P2\UL3,29.65,57.75,611,2.45E+04,cm2015-08-18.023
UR3,P1\P2\UR3,0.05,0.09,1,40.2,cm2015-08-18.023
LR3,P1\P2\LR3,21.35,41.59,440,1.77E+04,cm2015-08-18.023
LL4,P1\P2\LL4,21.64,42.16,446,1.79E+04,cm2015-08-18.023
UL4,P1\P2\UL4,29.69,57.84,612,2.46E+04,cm2015-08-18.023
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.023
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.023
LL5,P1\P2\LL5,21.64,42.16,446,1.79E+04,cm2015-08-18.023
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.023
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.023
LR5,P1\P2\LR5,29.69,57.84,612,2.46E+04,cm2015-08-18.023
cm2015-08-18.022,cm2015-08-18.022,100,---,2171,8.72E+04,cm2015-08-18.022
P1,P1,53.8,53.8,1168,4.69E+04,cm2015-08-18.022
P2,P1\P2,53.43,99.32,1160,4.66E+04,cm2015-08-18.022
LL3,P1\P2\LL3,0.28,0.52,6,241,cm2015-08-18.022
UL3,P1\P2\UL3,29.66,55.52,644,2.59E+04,cm2015-08-18.022
UR3,P1\P2\UR3,0.05,0.09,1,40.2,cm2015-08-18.022
LR3,P1\P2\LR3,23.45,43.88,509,2.04E+04,cm2015-08-18.022
LL4,P1\P2\LL4,23.72,44.4,515,2.07E+04,cm2015-08-18.022
UL4,P1\P2\UL4,29.71,55.6,645,2.59E+04,cm2015-08-18.022
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.022
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.022
LL5,P1\P2\LL5,23.72,44.4,515,2.07E+04,cm2015-08-18.022
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.022
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.022
LR5,P1\P2\LR5,29.71,55.6,645,2.59E+04,cm2015-08-18.022
cm2015-08-18.021,cm2015-08-18.021,100,---,2081,8.36E+04,cm2015-08-18.021
P1,P1,48.15,48.15,1002,4.02E+04,cm2015-08-18.021
P2,P1\P2,46.28,96.11,963,3.87E+04,cm2015-08-18.021
LL3,P1\P2\LL3,0.67,1.45,14,562,cm2015-08-18.021
UL3,P1\P2\UL3,25.08,54.21,522,2.10E+04,cm2015-08-18.021
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.021
LR3,P1\P2\LR3,20.52,44.34,427,1.72E+04,cm2015-08-18.021
LL4,P1\P2\LL4,21.19,45.79,441,1.77E+04,cm2015-08-18.021
UL4,P1\P2\UL4,25.08,54.21,522,2.10E+04,cm2015-08-18.021
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.021
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.021
LL5,P1\P2\LL5,21.14,45.69,440,1.77E+04,cm2015-08-18.021
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.021
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.021
LR5,P1\P2\LR5,25.13,54.31,523,2.10E+04,cm2015-08-18.021
cm2015-08-18.020,cm2015-08-18.020,100,---,1461,6.22E+04,cm2015-08-18.020
P1,P1,65.85,65.85,962,4.09E+04,cm2015-08-18.020
P2,P1\P2,65.71,99.79,960,4.09E+04,cm2015-08-18.020
LL3,P1\P2\LL3,0.14,0.21,2,85.1,cm2015-08-18.020
UL3,P1\P2\UL3,36,54.79,526,2.24E+04,cm2015-08-18.020
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.020
LR3,P1\P2\LR3,29.57,45,432,1.84E+04,cm2015-08-18.020
LL4,P1\P2\LL4,29.71,45.21,434,1.85E+04,cm2015-08-18.020
UL4,P1\P2\UL4,36,54.79,526,2.24E+04,cm2015-08-18.020
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.020
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.020
LL5,P1\P2\LL5,29.71,45.21,434,1.85E+04,cm2015-08-18.020
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.020
UR5,P1\P2\UR5,0.07,0.1,1,42.6,cm2015-08-18.020
LR5,P1\P2\LR5,35.93,54.69,525,2.23E+04,cm2015-08-18.020
cm2015-08-18.019,cm2015-08-18.019,100,---,1525,6.59E+04,cm2015-08-18.019
P1,P1,67.08,67.08,1023,4.42E+04,cm2015-08-18.019
P2,P1\P2,66.62,99.32,1016,4.39E+04,cm2015-08-18.019
LL3,P1\P2\LL3,0.07,0.1,1,43.2,cm2015-08-18.019
UL3,P1\P2\UL3,35.21,52.85,537,2.32E+04,cm2015-08-18.019
UR3,P1\P2\UR3,0.07,0.1,1,43.2,cm2015-08-18.019
LR3,P1\P2\LR3,31.28,46.95,477,2.06E+04,cm2015-08-18.019
LL4,P1\P2\LL4,31.34,47.05,478,2.07E+04,cm2015-08-18.019
UL4,P1\P2\UL4,35.28,52.95,538,2.32E+04,cm2015-08-18.019
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.019
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.019
LL5,P1\P2\LL5,31.28,46.95,477,2.06E+04,cm2015-08-18.019
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.019
UR5,P1\P2\UR5,0.13,0.2,2,86.4,cm2015-08-18.019
LR5,P1\P2\LR5,35.21,52.85,537,2.32E+04,cm2015-08-18.019
cm2015-08-18.018,cm2015-08-18.018,100,---,2118,8.51E+04,cm2015-08-18.018
P1,P1,52.41,52.41,1110,4.46E+04,cm2015-08-18.018
P2,P1\P2,52.08,99.37,1103,4.43E+04,cm2015-08-18.018
LL3,P1\P2\LL3,0.57,1.09,12,482,cm2015-08-18.018
UL3,P1\P2\UL3,26.68,51.22,565,2.27E+04,cm2015-08-18.018
UR3,P1\P2\UR3,0.09,0.18,2,80.3,cm2015-08-18.018
LR3,P1\P2\LR3,24.74,47.51,524,2.10E+04,cm2015-08-18.018
LL4,P1\P2\LL4,25.31,48.59,536,2.15E+04,cm2015-08-18.018
UL4,P1\P2\UL4,26.77,51.41,567,2.28E+04,cm2015-08-18.018
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.018
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.018
LL5,P1\P2\LL5,25.31,48.59,536,2.15E+04,cm2015-08-18.018
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.018
UR5,P1\P2\UR5,0.05,0.09,1,40.2,cm2015-08-18.018
LR5,P1\P2\LR5,26.72,51.31,566,2.27E+04,cm2015-08-18.018
cm2015-08-18.017,cm2015-08-18.017,100,---,2337,9.39E+04,cm2015-08-18.017
P1,P1,49.89,49.89,1166,4.68E+04,cm2015-08-18.017
P2,P1\P2,49.25,98.71,1151,4.62E+04,cm2015-08-18.017
LL3,P1\P2\LL3,0.13,0.26,3,121,cm2015-08-18.017
UL3,P1\P2\UL3,23.96,48.65,560,2.25E+04,cm2015-08-18.017
UR3,P1\P2\UR3,0,0,0,0,cm2015-08-18.017
LR3,P1\P2\LR3,25.16,51.09,588,2.36E+04,cm2015-08-18.017
LL4,P1\P2\LL4,25.29,51.35,591,2.37E+04,cm2015-08-18.017
UL4,P1\P2\UL4,23.96,48.65,560,2.25E+04,cm2015-08-18.017
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.017
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.017
LL5,P1\P2\LL5,25.29,51.35,591,2.37E+04,cm2015-08-18.017
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.017
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.017
LR5,P1\P2\LR5,23.96,48.65,560,2.25E+04,cm2015-08-18.017
cm2015-08-18.016,cm2015-08-18.016,100,---,2069,8.31E+04,cm2015-08-18.016
P1,P1,53.12,53.12,1099,4.41E+04,cm2015-08-18.016
P2,P1\P2,52.54,98.91,1087,4.37E+04,cm2015-08-18.016
LL3,P1\P2\LL3,0.34,0.64,7,281,cm2015-08-18.016
UL3,P1\P2\UL3,27.21,51.79,563,2.26E+04,cm2015-08-18.016
UR3,P1\P2\UR3,0.05,0.09,1,40.2,cm2015-08-18.016
LR3,P1\P2\LR3,24.94,47.47,516,2.07E+04,cm2015-08-18.016
LL4,P1\P2\LL4,25.42,48.39,526,2.11E+04,cm2015-08-18.016
UL4,P1\P2\UL4,27.11,51.61,561,2.25E+04,cm2015-08-18.016
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.016
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.016
LL5,P1\P2\LL5,25.23,48.02,522,2.10E+04,cm2015-08-18.016
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.016
UR5,P1\P2\UR5,0.05,0.09,1,40.2,cm2015-08-18.016
LR5,P1\P2\LR5,27.26,51.89,564,2.27E+04,cm2015-08-18.016
cm2015-08-18.015,cm2015-08-18.015,100,---,1597,6.87E+04,cm2015-08-18.015
P1,P1,62.93,62.93,1005,4.32E+04,cm2015-08-18.015
P2,P1\P2,62.74,99.7,1002,4.31E+04,cm2015-08-18.015
LL3,P1\P2\LL3,0.88,1.4,14,602,cm2015-08-18.015
UL3,P1\P2\UL3,31.56,50.3,504,2.17E+04,cm2015-08-18.015
UR3,P1\P2\UR3,0.13,0.2,2,86,cm2015-08-18.015
LR3,P1\P2\LR3,30.18,48.1,482,2.07E+04,cm2015-08-18.015
LL4,P1\P2\LL4,31.06,49.5,496,2.13E+04,cm2015-08-18.015
UL4,P1\P2\UL4,31.68,50.5,506,2.18E+04,cm2015-08-18.015
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.015
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.015
LL5,P1\P2\LL5,31,49.4,495,2.13E+04,cm2015-08-18.015
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.015
UR5,P1\P2\UR5,0.06,0.1,1,43,cm2015-08-18.015
LR5,P1\P2\LR5,31.68,50.5,506,2.18E+04,cm2015-08-18.015
cm2015-08-18.014,cm2015-08-18.014,100,---,2242,9.06E+04,cm2015-08-18.014
P1,P1,48.57,48.57,1089,4.40E+04,cm2015-08-18.014
P2,P1\P2,47.55,97.89,1066,4.31E+04,cm2015-08-18.014
LL3,P1\P2\LL3,0.27,0.56,6,242,cm2015-08-18.014
UL3,P1\P2\UL3,24.98,52.53,560,2.26E+04,cm2015-08-18.014
UR3,P1\P2\UR3,0.04,0.09,1,40.4,cm2015-08-18.014
LR3,P1\P2\LR3,22.26,46.81,499,2.02E+04,cm2015-08-18.014
LL4,P1\P2\LL4,22.52,47.37,505,2.04E+04,cm2015-08-18.014
UL4,P1\P2\UL4,25.02,52.63,561,2.27E+04,cm2015-08-18.014
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.014
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.014
LL5,P1\P2\LL5,22.44,47.19,503,2.03E+04,cm2015-08-18.014
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.014
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.014
LR5,P1\P2\LR5,25.11,52.81,563,2.27E+04,cm2015-08-18.014
cm2015-08-18.013,cm2015-08-18.013,100,---,1514,6.70E+04,cm2015-08-18.013
P1,P1,66.78,66.78,1011,4.47E+04,cm2015-08-18.013
P2,P1\P2,66.58,99.7,1008,4.46E+04,cm2015-08-18.013
LL3,P1\P2\LL3,0.4,0.6,6,265,cm2015-08-18.013
UL3,P1\P2\UL3,32.63,49.01,494,2.19E+04,cm2015-08-18.013
UR3,P1\P2\UR3,0.13,0.2,2,88.5,cm2015-08-18.013
LR3,P1\P2\LR3,33.42,50.2,506,2.24E+04,cm2015-08-18.013
LL4,P1\P2\LL4,33.88,50.89,513,2.27E+04,cm2015-08-18.013
UL4,P1\P2\UL4,32.69,49.11,495,2.19E+04,cm2015-08-18.013
UR4,P1\P2\UR4,0,0,0,0,cm2015-08-18.013
LR4,P1\P2\LR4,0,0,0,0,cm2015-08-18.013
LL5,P1\P2\LL5,33.75,50.69,511,2.26E+04,cm2015-08-18.013
UL5,P1\P2\UL5,0,0,0,0,cm2015-08-18.013
UR5,P1\P2\UR5,0,0,0,0,cm2015-08-18.013
LR5,P1\P2\LR5,32.83,49.31,497,2.20E+04,cm2015-08-18.013
