Path,%-T,%-#,Count,Count/mL,Count/µL,file
P1\P2\UL4,97.66,99.91,24575,2.46e5,246.01,cm2016-02-04.026
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.026
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-02-04.026
P1\P2\LL5,0.02,0.02,6,60.1,0.06,cm2016-02-04.026
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.026
P1\P2\UR5,0.02,0.02,4,40,0.04,cm2016-02-04.026
P1\P2\LR5,97.71,99.96,24586,2.46e5,246.12,cm2016-02-04.026
cm2016-02-04.025,100.00,---,39595,3.96e5,396.36,cm2016-02-04.025
P1,99.10,99.10,39240,3.93e5,392.81,cm2016-02-04.025
P1\P2,97.32,98.20,38535,3.86e5,385.75,cm2016-02-04.025
P1\P2\LL3,19.19,19.72,7598,7.61e4,76.06,cm2016-02-04.025
P1\P2\UL3,50.54,51.93,20013,2e5,200.34,cm2016-02-04.025
P1\P2\UR3,0.11,0.11,44,440,0.44,cm2016-02-04.025
P1\P2\LR3,27.48,28.23,10880,1.09e5,108.91,cm2016-02-04.025
P1\P2\LL4,46.89,48.18,18568,1.86e5,185.87,cm2016-02-04.025
P1\P2\UL4,50.41,51.79,19959,2e5,199.80,cm2016-02-04.025
P1\P2\UR4,0.00,0.00,1,10,0.01,cm2016-02-04.025
P1\P2\LR4,0.02,0.02,7,70.1,0.07,cm2016-02-04.025
P1\P2\LL5,44.80,46.03,17738,1.78e5,177.56,cm2016-02-04.025
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.025
P1\P2\UR5,0.04,0.04,14,140,0.14,cm2016-02-04.025
P1\P2\LR5,52.49,53.93,20783,2.08e5,208.05,cm2016-02-04.025
